name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Fresh Cool Ac Services,"51, Mahatma Gandhi Rd, Johari Palace, South Tukoganj, Indore, Madhya Pradesh 452001",grexa.site,https://grexa.site,096697 97299,AC Repair,Indore,106.0,4.6,,,https://www.google.com/maps/place/Fresh+Cool+Ac+Services/data=!4m7!3m6!1s0x3962fd13c6262d39:0x8824d7bd33ca5c98!8m2!3d22.7216174!4d75.878731!16s%2Fg%2F11r4kyr9hx!19sChIJOS0mxhP9YjkRmFzKM73XJIg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQco2z9zMFjBDPyVPFFxTsKvw-INAx3om9Wj2cjBHSszO2kV2bgm2_hq1twzVGcEqZSpYmYGGaFzcCNf4tcDabTWWaakgD0QPVauBBcLZ6I853W_RZUIUreRXEurfCKPI7bTo=w1024-h768-k-no,
Ac repair service indore,"Bhanwar Kuwa, Indore, Madhya Pradesh 452001",,,,AC Repair,Indore,14.0,4.9,22.7027083,75.8674922,"https://www.google.com/maps/place/Ac+repair+service+indore/@22.7027083,75.8674922,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdce7268ea51:0x6839edb903e01939!8m2!3d22.7027083!4d75.8674922!16s%2Fg%2F11svp3p0dz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsw2yYXqjRnr1lcslN0ErSChUp5Mv3Kyps71YFwBulA3bI51tkPv8wVNDeyrckXu5ry3XGnd68hZcWRme93GRx5hnhuwSNz1nh7Fl3b6GWgyS133jHaRCJZ_vU5g_GjmEfEbHG=w1024-h768-k-no,
AC Doctor,"2nd Floor, Patrakar Square, 1, Joy Colony, Indore, Madhya Pradesh 452018",acdoctor.in,https://acdoctor.in,089598 98989,AC Repair,Indore,560.0,4.8,,,https://www.google.com/maps/place/AC+Doctor/data=!4m7!3m6!1s0x3962fdf4457aaae7:0x5a20ec23d7ea33ea!8m2!3d22.7233212!4d75.8947189!16s%2Fg%2F11j8jqcpm7!19sChIJ56p6RfT9YjkR6jPq1yPsIFo?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8btJuO7nLwaCdj-2rGM3lL5G7MI9IcIB4XLSLiw3Wf61FY-UOP1MJSU-Wd8-Xq9WtW4D75e5U-bPzwP3vstti5pfMVJvHSdt0_Z178ufmfAfBQcLxPlYIljgNcbdXhroY8QQF=w1024-h768-k-no,
Cooling Network | Ac Repairing In Indore | Ac Installation In Indore | Refrigerator Repair In Indore,"Mahavar Nagar, Revenue Colony, Sudama Nagar, Indore, Madhya Pradesh 452009",coolingnetwork.in,https://coolingnetwork.in,080 4803 3138,AC Repair,Indore,108.0,4.6,,,https://www.google.com/maps/place/Cooling+Network+%7C+Ac+Repairing+In+Indore+%7C+Ac+Installation+In+Indore+%7C+Refrigerator+Repair+In+Indore/data=!4m7!3m6!1s0x3962fdf59b612709:0x8a5c709b5f6e2dd6!8m2!3d22.7022597!4d75.8423432!16s%2Fg%2F11fkf65gkh!19sChIJCSdhm_X9YjkR1i1uX5twXIo?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1_9pHYOOEsd2onBk_WGvtK8p1Hm1tvogFWod6RwfejmloHCTcwnntmWtF6KAmyfmHEadEr5hXQ6bwCpGb20RK_jDx7ihor7SWPzT9p1Z9_NwCI3EMqBXLXrULI2uMc6eNdflwpw=w1024-h768-k-no,
Easy Ac Services,"Basement 13 , Johari Palace, Mahatma Gandhi Rd, Near Treasure Island, Mall, Indore, Madhya Pradesh 452001",,,078697 37329,AC Repair,Indore,195.0,4.9,,,https://www.google.com/maps/place/Easy+Ac+Services/data=!4m7!3m6!1s0x3962fdea8fb0a717:0xf9b434f652c133b1!8m2!3d22.7207524!4d75.8776942!16s%2Fg%2F11qqgtgs1k!19sChIJF6ewj-r9YjkRsTPBUvY0tPk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMQjbkXd10gDbeckSnjfx_nM91Y0r0WlrC4dEOq8J5J133FeGRvRULT5-nK8xXS_IVxRd7furCxFKqoWHtreBgO6YaDB50W1Y4Aj7_Kd0sOwm__YW7WLJqciRYfnDGtVDQ1O6vxg=w1024-h768-k-no,
Nahar Cooling Solution | AC Repair in indore | The No.1 AC service Center in indore | Best AC Services In Indore,"51, Mahatma Gandhi Rd, JOHARI PALACE 13B, South Tukoganj, Indore, Madhya Pradesh 452001",naharcoolingsolution.in,https://naharcoolingsolution.in,088188 88892,AC Repair,Indore,61.0,4.7,,,https://www.google.com/maps/place/Nahar+Cooling+Solution+%7C+AC+Repair+in+indore+%7C+The+No.1+AC+service+Center+in+indore+%7C+Best+AC+Services+In+Indore/data=!4m7!3m6!1s0x3962fd3e3de7d7b1:0xbf95ad3607a189e4!8m2!3d22.7226183!4d75.8819324!16s%2Fg%2F11dyzl4m9h!19sChIJsdfnPT79YjkR5ImhBzatlb8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW1mzj5wJiydRYrG8th_9faDqsWmeENc-TgIp6GqAiLIhYsnSrUKoRviBmaFQZooOdTPHObVo2qk0nxo9oU1UtP1M8pWwnpp2yUrZ3JVzyN7NEpkbgABuo7I4mzj1ejiaoxnvX=w1024-h768-k-no,
Climate Cool Aircon,"112 bc chamber, 47, behind dental hospital, Jaora Compound, Indore, Madhya Pradesh 452001",instagram.com,https://instagram.com,098263 82364,AC Repair,Indore,48.0,4.2,,,https://www.google.com/maps/place/Climate+Cool+Aircon/data=!4m7!3m6!1s0x3962fde733004209:0xf4f9a40789fb7ff4!8m2!3d22.7088492!4d75.8774581!16s%2Fg%2F11c6rhl7c4!19sChIJCUIAM-f9YjkR9H_7iQek-fQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDz4Y1W5rArjlqGd8ZSIYn_793IPGHGjLmTj_3850-U65Zjq_2GTdUcjm-TYCOGqk0xk2ByiORCNrHG3k-Cj6TlL9U0e7k0I5O23qKPAOhxcGwgcNos8BpznfTuNGRJ9tTDNolfA=w1024-h768-k-no,
LUCKY A.C SERVICES,"51,MG,road basement B13 johri palace, Indore, Madhya Pradesh 452001",,,094250 76642,AC Repair,Indore,50.0,4.2,,,https://www.google.com/maps/place/LUCKY+A.C+SERVICES/data=!4m7!3m6!1s0x3962fd3e407aa4b9:0xd0cc001296a4a8e3!8m2!3d22.7211212!4d75.8781066!16s%2Fg%2F11csbf8c6z!19sChIJuaR6QD79YjkR46iklhIAzNA?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGL0B_J_QYk7HiSiZ8UTlpURj3o0NuVBjFOkQzvACLMUo8yP0bSpnMvrdDOH7hbtNkfSihuQ1VVO7O1UI2BohelFjara6QTN3rTv9mXVPqjIb96MPqBtqZffOT_KDvNAFEIZfk=w1024-h768-k-no,
GsaabG AC Services - Ac Fridge Washing Machine Repair Center Indore,"Khajrana Rd, Haji Colony, Indore, Madhya Pradesh 452016",gsaabg.com,https://gsaabg.com,074007 70070,AC Repair,Indore,139.0,4.5,22.73188,75.912236,"https://www.google.com/maps/place/GsaabG+AC+Services+-+Ac+Fridge+Washing+Machine+Repair+Center+Indore/@22.73188,75.912236,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e2b77d2b51a9:0x6ed5cebcb393a7a2!8m2!3d22.73188!4d75.912236!16s%2Fg%2F11f4zbbq5q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEulJftagZCmlbpA-AAqGEbHl87jzj6lCYYrUmMRCyxxzFkpmcPJkrc1VCtBp43qfubcFRhtdYne2IPQwV4PfuWFXqnwvIIFnBGmMSjtWI_FIsp8uIGVTcRZLMcqIE960Ro05pkow=w1024-h768-k-no,
Weather Zone – AC Repair & Installation Services | Gas Filling Service & Home Appliance Service in Indore,"Dukan No 6, masjid markit, 50/5, Savindnagar, Sanvid Nagar, Indore, Madhya Pradesh 452016",weatherzone.in,https://weatherzone.in,087700 58807,AC Repair,Indore,53.0,4.8,,,https://www.google.com/maps/place/Weather+Zone+%E2%80%93+AC+Repair+%26+Installation+Services+%7C+Gas+Filling+Service+%26+Home+Appliance+Service+in+Indore/data=!4m7!3m6!1s0x3962fdef9e524939:0x31fb329fa89bfcb!8m2!3d22.7216612!4d75.8959512!16s%2Fg%2F11tmv8t3ym!19sChIJOUlSnu_9YjkRy7-J-imzHwM?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnHBRxjM4_5tk6xoLppLXJVo-ogrXmedBXQFplDafD_tcR4KPnH6l1EFYHkfr9du6Gutqk8WuRMfrO8annDOYnOvsn8fTGgaUK2QJit-LZieTw9LohhqIikWGT0-lRU-TPoHhrxtKU0aHH=w1024-h768-k-no,
