name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Mangosteen Cafe,"Olympus, near Mayank Blue Water Park Road, Bicholi Mardana, Indore, Madhya Pradesh 452016",,,,Cafe,Indore,1076,4.6,22.7060253,75.9242174,"https://www.google.com/maps/place/Mangosteen+Cafe/@22.7060253,75.9242174,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e3802902f807:0xbc78ea44094fb566!8m2!3d22.7060253!4d75.9242174!16s%2Fg%2F11y3v0852w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcjTIkcHrLoViofmKgs-b9U-4L0gL5OoqvIWC070WNgtKec8e6qvd5-lCMAporBwoSjozWnKAZB8pJCksN0YaeN3hr3plOtNuNUDw4pEtciv5EfU5Ws68HGCu74tMxEbaKz7RE=w1024-h768-k-no,
Piccolo Cafe,"5th Floor, The Emporio, MR 10 Rd, near Godrej Interio, opposite Hotel Marriott, Scheme No 54, Indore, Madhya Pradesh 452010",piccolo.menuqrate.com,https://piccolo.menuqrate.com,095897 99499,Cafe,Indore,1063,4.7,22.7545465,75.8812716,"https://www.google.com/maps/place/Piccolo+Cafe/@22.7545465,75.8812716,17z/data=!3m1!4b1!4m6!3m5!1s0x396303f6b39d7283:0x7d2802e4e4eae2fa!8m2!3d22.7545465!4d75.8812716!16s%2Fg%2F11vpt8fxmg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJ9efqYNNztBJq0_2sTPPGuprvqFnH_kJ5mu1VgorogdhMAH6DF6v-ny7f9cVF3hSIU6fz6OGSHb70Jyk-UaiyS6b7alIUzysS4zEWZabFMrypZMygqbHNRXVn4G_lOSPgE3L1_A=w1024-h768-k-no,
Cafe De Casa,"Vijay Nagar, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",link.zomato.com,https://link.zomato.com,099267 94001,Cafe,Indore,1118,4.7,22.7611507,75.8872803,"https://www.google.com/maps/place/Cafe+De+Casa/@22.7611507,75.8872803,17z/data=!3m1!4b1!4m6!3m5!1s0x396303cf654e0ed7:0x10569e23dcf2ec91!8m2!3d22.7611507!4d75.8872803!16s%2Fg%2F11shx883tn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2Sox0XIqMobdosNteGoTsUCwRnZGoQuNPZGkg8BKWG5LcgblJsrZyN2XUZELDI_VC4hmdLl-v7Njn8H0Mj4VISDYxqb7FjYX51rmJPBKFNigV5vCQ2In-J6224MMdk2hxX2qGbd_ShEk8=w1024-h768-k-no,
Amigos Café and Restaurant,"Ring Road, Khajarana Square, Next to MPEB power house, shubh laabh residency, Indore, Madhya Pradesh 452018",menu.amigoscafe.in,https://menu.amigoscafe.in,099790 32178,Cafe,Indore,362,4.5,22.7304376,75.9024182,"https://www.google.com/maps/place/Amigos+Caf%C3%A9+and+Restaurant/@22.7304376,75.9024182,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e3e170ab6969:0xc952f77b59d472f2!8m2!3d22.7304376!4d75.9024182!16s%2Fg%2F11s8c12hjf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiJtD71Q-1kIrpHm8TkoY1NV8BRlp_S56N_63aGmrWI6gZLy2AlFuvVKM8dPLRtbua9MIRh65_k_MWuNamNdUaOETmGLYv_c4ux7P2gXZW1NIjhh7e4FSnZe4SE-4kQYl4JGvGnRaEppmn=w1024-h768-k-no,
Godwit Cafe | Best Cafes in Indore | Best Jain food in Indore | Pure Veg restaurant,"1 Sanjana Park Main, Agrawal Corporate House, Scheme No 140, Indore, Madhya Pradesh 452016",godwitcafe.com,https://godwitcafe.com,091278 80000,Cafe,Indore,3677,4.6,22.7026586,75.9195681,"https://www.google.com/maps/place/Godwit+Cafe+%7C+Best+Cafes+in+Indore+%7C+Best+Jain+food+in+Indore+%7C+Pure+Veg+restaurant/@22.7026586,75.9195681,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e381a95ec017:0x2acaf1275e657ade!8m2!3d22.7026586!4d75.9195681!16s%2Fg%2F11js3nk7bn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGA5Ay4mI7eD3jS_ctrBQNShrPjGhw_Qxo9SuOSCiJFycFMRU7PyrJGNmXjqFgxbBsW2lUNkUEvJO3oW06HLlWWYbQ-dwdgWqXviYZJIPAmsF0srVv5Oxh5e5Y2Z8peHaLTGlbm0g=w1024-h768-k-no,
"Cafe Palette, Indore","Cafe Palette, 136, Saket Nagar, Indore, Madhya Pradesh 452018",,,088199 44446,Cafe,Indore,1407,4.1,,,"https://www.google.com/maps/place/Cafe+Palette,+Indore/data=!4m7!3m6!1s0x3962fd353fef94f5:0xb043c67e57f1559c!8m2!3d22.7254257!4d75.8985215!16s%2Fg%2F1hc2_qnh4!19sChIJ9ZTvPzX9YjkRnFXxV37GQ7A?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBGiNoKYaqrApdX1LrnJ2dy0Df-FH_pY-tBRdKIK1KbRWwxSaxph8ULeya6thV8BRphS6XZ5bg7wcgQxHg4gHQCqGUTYgmaSxRIQ_UNOzPkZh8-Bmaj_AJfPMp9MLrauvKaDXktQ=w1024-h768-k-no,
Habit - Coffee Lounge,"UG-27 , One Centre , 56 Shop, Madhya Pradesh 452001",,,099812 90539,Cafe,Indore,235,4.7,,,https://www.google.com/maps/place/Habit+-+Coffee+Lounge/data=!4m7!3m6!1s0x3962fdfe22054479:0x37e30356ffbafc6c!8m2!3d22.7250854!4d75.8844668!16s%2Fg%2F11rtszrf8k!19sChIJeUQFIv79YjkRbPy6_1YD4zc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFh1DI6JR89c_QXOsCy9OytrL4RtQZajHQb982VFKK1vvXzxWzjRxqcIB0-ieupSB-vUETMBAhB_vJSwBUWbHmGsFjFIoP13fHIIK3to48MU1weAqCOWk5ISZY1o-9lRLrUXog=w1024-h768-k-no,
"Nothing Before Coffee- New Palasia, Indore","13/3, opp. recovery hospital, near Gopal dairy, New Palasia, Indore, Madhya Pradesh 452001",stores.nothingbeforecoffee.com,https://stores.nothingbeforecoffee.com,081099 54929,Cafe,Indore,2640,4.5,22.7299385,75.882618,"https://www.google.com/maps/place/Nothing+Before+Coffee-+New+Palasia,+Indore/@22.7299385,75.882618,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd2f9cc28e9b:0x4bb527673fa3c74!8m2!3d22.7299385!4d75.882618!16s%2Fg%2F11rssmwrhw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVePhpkjkap9hX4DfLrlFUeFyFcRJer9qD7yz6c5siO0Pcfg_ykEexr4ElJ-KXaHS88RDMx9-AI1CkEAbk4VID4yaX_ZzJwf5tHhzWv1YDCVMl-USROpHXRwhysKUsE9N44CMh=w1024-h768-k-no,
Lotus Hut Cafe,"PVCG+88P, Mahatma Gandhi Rd, Next To Amrit, Residency, South Tukoganj, Indore, Madhya Pradesh 452001",,,094066 11389,Cafe,Indore,3756,4.2,22.720828,75.8758399,"https://www.google.com/maps/place/Lotus+Hut+Cafe/@22.720828,75.8758399,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd158c5708c7:0x3b67a2b95a8d23de!8m2!3d22.720828!4d75.8758399!16s%2Fg%2F11dympbhk4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtHXXzUYaNp-cz7Qx5TmIw8s86WKIThhGX9mgQJze0WOSjbOo4xvSEVZPwGjNF5i8qlxJDOLTdBftsxe5R1im9-xebOKoj-tZMt3ouBSjbYE9_Nwmv81lD86ury3PClv1pU2kq=w1024-h768-k-no,
Farzi Cafe Indore,"Apollo premier building, Vijay Nagar Square, near sajan prabha, Ratna Lok Colony, Indore, Madhya Pradesh 452010",farzicafe.com,https://farzicafe.com,077709 88811,Cafe,Indore,3372,4.2,22.7498929,75.8968562,"https://www.google.com/maps/place/Farzi+Cafe+Indore/@22.7498929,75.8968562,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd11bdc3813b:0xa99558d72c6f05b!8m2!3d22.7498929!4d75.8968562!16s%2Fg%2F11h0qcgxzd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGnvFYAVZIGV0SQDGnvAq4hfldgVjhEluDyyYE3Ej2rwPkBZdtox1ZaeR_RyeNfSZPiCXgUj4KVYmWVNnuXMiKySq32xwXxc3LYhluVNQPzPbLDHqLx1lDxBTGEXIsvHT7AiOz=w1024-h768-k-no,
Mr. Beans,"100, Near, Saket Club Rd, Near Saket Club, Saket Nagar, Indore, Madhya Pradesh 452018",mrbeans.in,https://mrbeans.in,0731 428 5050,Cafe,Indore,4235,4.1,,,https://www.google.com/maps/place/Mr.+Beans/data=!4m7!3m6!1s0x3962fd34580fb925:0x7e7da4bae9794d33!8m2!3d22.723283!4d75.896925!16s%2Fg%2F11b6hwq1pb!19sChIJJbkPWDT9YjkRM0156bqkfX4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1wjhkAJZuSHwSoPnHnAPLkeS5R_VbrbcDA4TkZNmS0fuDVi2x7_2q2aXdFAZamA3SYmniOZvBavsvi3ynb9ICQkkjXgS-woxPRwaXbar2ulJ8CJF6EXThASVK8iw6jvflIJ_yD3315Axs=w1024-h768-p-k-no,
Tiny House Cafe,"203 DH, near Apollo hospital Towards Prestige college, Vijay Nagar, Scheme No 74C, Indore, Madhya Pradesh 452010",instagram.com,https://instagram.com,090742 36784,Cafe,Indore,650,4.4,,,https://www.google.com/maps/place/Tiny+House+Cafe/data=!4m7!3m6!1s0x396303a1919805f1:0x59f61efd36e36a1a!8m2!3d22.7583816!4d75.8856722!16s%2Fg%2F11gy72kxg8!19sChIJ8QWYkaEDYzkRGmrjNv0e9lk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtM65IsE3pz6DGa5J1LR0s4NNFzs1LIcSzb49E2-YL1_Hc07-f13D-Ci2OHQz6CkO6XGoRRZCJu0v-yO4H6TP2f2Voip__8JFoVIRLIUJyERFd0qoYjAA9dTtcxmQ-kifo2wYD=w1024-h768-k-no,
Mocha,"G-1 & G-2, Prakrati Corporate Building, Race Course Area, Yeshwant Niwas Rd, Indore, Madhya Pradesh 452003",mocha.co.in,https://mocha.co.in,090090 58658,Cafe,Indore,4108,4.1,22.732457,75.8751118,"https://www.google.com/maps/place/Mocha/@22.732457,75.8751118,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd69bf998697:0x8ef5d85f678c03ad!8m2!3d22.732457!4d75.8751118!16s%2Fg%2F11bw5xw3qb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXBIh8e8ByKvkP1Y6b-XzzziG36klMjFz2MEftWj6hr8cWw3oht7q4hbe_GUMvjzj9Im40CJfs6h4VchDq7tLJOrXEeV40RLdOWBVyAWteculUXboPnn374FuEUlCiu1zUgEyzbTZRQPb0=w1024-h768-k-no,
Siolim Specialty Coffee Roasters Indore,"75,New Agarwal Nagar , Janki Nagar, Indore, Madhya Pradesh 452001, Indore, Madhya Pradesh 452007",siolim.coffee,https://siolim.coffee,090099 92663,Cafe,Indore,1065,4.2,,,https://www.google.com/maps/place/Siolim+Specialty+Coffee+Roasters+Indore/data=!4m7!3m6!1s0x3962fdbb7229cd9f:0x79092c805f4131fb!8m2!3d22.6992266!4d75.8717483!16s%2Fg%2F11t7pcr5gs!19sChIJn80pcrv9YjkR-zFBX4AsCXk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCveoEX1kXh3rNV_JcqWkItPlgXPh2ueutIsRSicSdY7DVzI6q_iPUN7uc7qHjxI4V5YxJuJXCO8obcItvhO6HRLmqcf9q-dWm5Vov75lX0L0Y7LeVY0jIwzVFwtQLaTAQtRZOeGkai_-m=w1024-h768-p-k-no,
Terazza Veg Kitchen,"10th Floor, Airen Heights, AB Rd, opp. c21 mall, Behind Pakiza Mall, LIG Colony, Indore, Madhya Pradesh 452010",terazza.in,https://terazza.in,070007 47566,Cafe,Indore,3814,4.1,22.7451062,75.8922699,"https://www.google.com/maps/place/Terazza+Veg+Kitchen/@22.7451062,75.8922699,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd56c4014007:0x7056b9d9a6baab8e!8m2!3d22.7451062!4d75.8922699!16s%2Fg%2F12m99bq4g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcFGGalcQrmMauhVAWQ_xG761ZlPMEiT0kT7J1F5SHPcUbOFDRSsX61pU4mm6ohe84BkLx40D_Ge-3p0eClgMmdBTxAwE8-MKcM5n0mVVaVcWIgDrXoHx6EHK2dUJHxfz2-UUE631RnEJq=w1024-h768-p-k-no,
Cafe Chapter One,"WB -86, Ring Rd Scheme No 94 Sector EB, west, Vijay Nagar, Indore, Madhya Pradesh 452010",cafechapterone.com,https://cafechapterone.com,0731 487 9893,Cafe,Indore,2188,4.2,,,https://www.google.com/maps/place/Cafe+Chapter+One/data=!4m7!3m6!1s0x39631d53c28c5665:0x1e503bc37f336f35!8m2!3d22.7583663!4d75.9048002!16s%2Fg%2F11hcw4d2h3!19sChIJZVaMwlMdYzkRNW8zf8M7UB4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFO2A8Y99MGBsdSSFrL1L-MwXj6yuq58YVrnq_fc9r7AFSjw-EVD4BZcWYf38H7hrI98EGyYhp1KM1yJ4U2QrXUP821euzTJ4GDFXrxcoQBLR-Hp75AYZs72vgqwZxnq_W7l08R=w1024-h768-k-no,
The Eyry | Speciality Coffee | Amazing Food & Bakery | Coworking space Indore,"GF Narayan Kothi 18 R S Bhandari Marg, Janjeerwala Square, Indore, Madhya Pradesh 452018",theeyry.com,https://theeyry.com,0731 495 7775,Cafe,Indore,492,4.0,,,https://www.google.com/maps/place/The+Eyry+%7C+Speciality+Coffee+%7C+Amazing+Food+%26+Bakery+%7C+Coworking+space+Indore/data=!4m7!3m6!1s0x3962fd4093ea09f9:0xff8b4c258c6a0b79!8m2!3d22.7268009!4d75.8803164!16s%2Fg%2F11f28vmr0r!19sChIJ-Qnqk0D9YjkReQtqjCVMi_8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpFabU8nzDbiPjMEl8JUS65Lone7mU1xMa4pIX0ZtQI6EeJw_2JvIauG_etCD91u96N2twm9v9Ndz910EgmjZaEh85mFUTrGkitHyARqvzGuXdyTz3zmrJZuGzKcjd9JEzAucy=w1024-h768-k-no,
Aapka Cafe & Restro,"26, Devi Ahilya Marg, opposite Dollar Market, Jail Road, Indore, Madhya Pradesh 452007",,,097525 25746,Cafe,Indore,238,5.0,22.7213332,75.8616109,"https://www.google.com/maps/place/Aapka+Cafe+%26+Restro/@22.7213332,75.8616109,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd8e126a3771:0xdee0130c6eb88dbd!8m2!3d22.7213332!4d75.8616109!16s%2Fg%2F11t502mvnt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAESqtkpBz3a_k5064ch5adYRzUvMxi6b0ubqmQX-P7ibqwfn9NuYthgPTPQn1zoQfEaW_pzf9IVlNQ3nlDJCaUO1pYVdLyOQuOUXIdtubgoWK4k0kJ5hpUfkXwxIN4T1Pjdf5GQ=w1024-h768-k-no,
Nothing Before Coffee Sapna Sangeeta,"Sapna Sangeeta Rd, near preetamdas sabha grah, Sadhu Vaswani Nagar, Indore, Madhya Pradesh 452001",nothingbeforecoffeeindia.com,https://nothingbeforecoffeeindia.com,070004 00835,Cafe,Indore,786,4.5,22.7006077,75.865192,"https://www.google.com/maps/place/Nothing+Before+Coffee+Sapna+Sangeeta/@22.7006077,75.865192,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd6816de76bb:0xd4ca35f37ed4ba7e!8m2!3d22.7006077!4d75.865192!16s%2Fg%2F11s7wnmv21?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLo5AwsulRNGvNq1rHqhYWBq0tZoLvS4USTebqfCb-8A8pFLauSutFJTKF1VWd4tO4ZLh5NRWPxeG1166IEGl6qdSxwZ4xT-TGezOUTa2QZkZp_Le4QAGW5q1UYua_0OSzZOX_Bg=w1024-h768-k-no,
