name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
𝗠𝗼𝗵𝗮𝗻𝗸𝗮 & 𝗔𝘀𝘀𝗼𝗰𝗶𝗮𝘁𝗲𝘀 - New Company Registration| Best GST Services in Indore | Best CA in Indore,"DH-159, near Apollo Hospital, Scheme No 74C, Indore, Madhya Pradesh 452010",mohankaassociates.com,https://mohankaassociates.com,097555 25330,Chartered Accountant,Indore,157.0,4.8,22.7580489,75.8844683,"https://www.google.com/maps/place/%F0%9D%97%A0%F0%9D%97%BC%F0%9D%97%B5%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B8%F0%9D%97%AE+%26+%F0%9D%97%94%F0%9D%98%80%F0%9D%98%80%F0%9D%97%BC%F0%9D%97%B0%F0%9D%97%B6%F0%9D%97%AE%F0%9D%98%81%F0%9D%97%B2%F0%9D%98%80+-+New+Company+Registration%7C+Best+GST+Services+in+Indore+%7C+Best+CA+in+Indore/@22.7580489,75.8844683,17z/data=!3m1!4b1!4m6!3m5!1s0x396302a4aa929105:0xb8ad2170c72232a7!8m2!3d22.7580489!4d75.8844683!16s%2Fg%2F11f331vmmm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdhsOqTI99N-am5SRinu6qToME-ooelHdpCdD1-2-X4AG_T8TkqOtLaRzOOFwEYzVDzWvFBQ8yxwMWbdUeXVHcORTGzWuTbcJzIw9NfvcmXJ5EBBN1XzeArCxFOV1j2mV94J8=w1024-h768-k-no,
CA Rajneesh Jain & Co.,"Vibrant Tower Anand Nissan Car Building, 311, AB Rd, near Geeta Bhawan, Square, Indore, Madhya Pradesh 452001",carajneeshjain.com,https://carajneeshjain.com,088396 25369,Chartered Accountant,Indore,242.0,5.0,,,https://www.google.com/maps/place/CA+Rajneesh+Jain+%26+Co./data=!4m7!3m6!1s0x3962fd99c599d727:0x48b3699fb1084b83!8m2!3d22.720222!4d75.885165!16s%2Fg%2F11rx3y36_g!19sChIJJ9eZxZn9YjkRg0sIsZ9ps0g?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7tqBAFnkmgZSr_yMKnQ9uB7xPUUqa_EkcjsYUKENfcnMASDBi_nqkuZtSWwyk_tUwa3-ua21tEDJ_o11Xr47z6y2v5fKJrzID1gER8X1F4QFTCceAowmJd2OevbnDaBNaVKeo=w1024-h768-k-no,
Lavesh Mittal and Associates,"1st floor, Corporate House, M5, RNT Marg, near Central Mall, Regal Square, South Tukoganj, Indore, Madhya Pradesh 452001",laveshmittalandassociates.com,https://laveshmittalandassociates.com,090391 12333,Chartered Accountant,Indore,93.0,4.9,,,https://www.google.com/maps/place/Lavesh+Mittal+and+Associates/data=!4m7!3m6!1s0x3962fddb936eae35:0x33ee092290e8c640!8m2!3d22.7173387!4d75.8716538!16s%2Fg%2F11hzpbxsd_!19sChIJNa5uk9v9YjkRQMbokCIJ7jM?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeKosrdVWBxsSAYHPvHQM7m_W66FKmhEuKQ3-CxM0E00rLVxhARuwwbsMYNO4UZ3u2kWcSuwtEg4yziZbgZbGxvOHb1J6rJao539jpUAh44qiKs8FbT1SWfXGTIZlEs2_n9rJki-6xFQdr=w1024-h768-k-no,
CA Yash Maheshwari & Co,"Flat No. 7, Sainath Apartment, Gita Bhawan Rd, Geeta Bhawan, Indore, Madhya Pradesh 452001",cainindore.com,https://cainindore.com,070895 70910,Chartered Accountant,Indore,151.0,5.0,22.7185036,75.8871395,"https://www.google.com/maps/place/CA+Yash+Maheshwari+%26+Co/@22.7185036,75.8871395,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd70a982e795:0x3105ea13f24dff28!8m2!3d22.7185036!4d75.8871395!16s%2Fg%2F11y3bw_gy4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFA0cEWg_hfTQ9hFFvP9lRuITkAyxsxmk_oE4Iwlu2lBF_tD-OzXk8GNDIVsmrtsscthfrCXNyWDoGHSyqw8X8ny3pxPC8MaegLdEFhkr_R2m8oex090T2PH5rfQ9NARhj0B5sRAg=w1024-h768-k-no,
R.K.Gurbani & Co. Chartered Accountants,"210, LIG Link Rd, near LIG SQUARE, Anoop Nagar, Indore, Madhya Pradesh 452008",,,070676 06834,Chartered Accountant,Indore,32.0,5.0,,,https://www.google.com/maps/place/R.K.Gurbani+%26+Co.+Chartered+Accountants/data=!4m7!3m6!1s0x3962fd0bf1f8dce3:0x68156dd1c9e33e6!8m2!3d22.7316138!4d75.8921094!16s%2Fg%2F11myxkjgk9!19sChIJ49z48Qv9YjkR5jOeHN1WgQY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqdmHVp0FJskIfYjKMfgDU91-piLAUHFCAUCNw90ebWkvStI4zzPJFtdSIwSGQLd19GYl329ER6_ssL52baud6g-xgMX-XsekmW6R9Tm5JEO1pF_N5H-oGHUNh8i9FzXVFz0bMSuHE-NQ=w1024-h768-k-no,
Vijayvargiya & Tanted | Chartered Accountants in Indore,"Office N.114, 2nd Floor, Race Course Rd, Near Janjeerwala Square, Opposite B.B.C, New Palasia, Indore, Madhya Pradesh 452003",vtca.in,https://vtca.in,089899 36962,Chartered Accountant,Indore,28.0,4.9,,,https://www.google.com/maps/place/Vijayvargiya+%26+Tanted+%7C+Chartered+Accountants+in+Indore/data=!4m7!3m6!1s0x3962fd00574d59c7:0xe0999daa855d1b58!8m2!3d22.7263918!4d75.8786755!16s%2Fg%2F11vywfh59p!19sChIJx1lNVwD9YjkRWBtdhaqdmeA?authuser=0&hl=en&rclk=1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kMTJEqU7o9ZW5Ke4peG0LQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=144.16061&pitch=0&thumbfov=100,
Mahesh C Solanki & Co.,"Airen Heights, PU-3, AB Rd, opp. Mega Malhar Mall, Behind Pakiza Mall, Scheme No 54, Indore, Madhya Pradesh 452010",mcsca.com,https://mcsca.com,0731 407 5777,Chartered Accountant,Indore,185.0,4.9,22.744951,75.892356,"https://www.google.com/maps/place/Mahesh+C+Solanki+%26+Co./@22.744951,75.892356,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd3f305a6f8b:0x23df916fcbdc4a8d!8m2!3d22.744951!4d75.892356!16s%2Fg%2F1v8hzv3w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmBHDC6BGJGf4gx5QTMwzKmQi-k8d9J7Et1zkDZpwvIrbSc9BwOltmbtZwbVWYWm6hJKWQAwaoQJiUw31yo0mxR16yDhkCL_-NzdCUcQSgCg77G-pQJokd6NVuWzwvkBA6sQI=w1024-h768-k-no,
Apurv Kansal & Company,"Office No15, 3rd Floor, Dawa Bazar, RNT Marg, Dawa Bazar, Madhumilan, Murai Mohalla, Jaora Compound, Indore, Madhya Pradesh 452001",apurvkansal.co.in,https://apurvkansal.co.in,098272 05947,Chartered Accountant,Indore,253.0,4.9,22.7134699,75.8758257,"https://www.google.com/maps/place/Apurv+Kansal+%26+Company/@22.7134699,75.8758257,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd180269c207:0x9f444c11935a5bc9!8m2!3d22.7134699!4d75.8758257!16s%2Fg%2F1q67qtz4d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqxI6UosVi0f90oYz585KyHd7u-i5ZrWTt1pPK3FR-BKtANsZJm_HCIZ_fVEMGThyReyQnA_iMzoNkAw37B5z4Dd6ey2xYoMKx6eX5GtXLxQeXEqjHseyzGcTBal1QKSyuLBZwlQ=w1024-h768-k-no,
CA Vishal S. Jain & Associates - CA Firm in Indore,"609-B, The One, RNT Marg, opposite DAVV University, Indore, Madhya Pradesh 452001",ca-vishal.com,https://ca-vishal.com,096916 40540,Chartered Accountant,Indore,73.0,4.9,22.7171486,75.8729009,"https://www.google.com/maps/place/CA+Vishal+S.+Jain+%26+Associates+-+CA+Firm+in+Indore/@22.7171486,75.8729009,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdd783c73c1f:0xffc19f1281e65a36!8m2!3d22.7171486!4d75.8729009!16s%2Fg%2F11rcvgd7bv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAECPWedxYN2cpEzLi-otTATisDH40q02jHlFjxTc92uvwyLB5MR_7re8or5fwMx3SGe274xJYushhO1WiYUx9eOeW70nToGncavgfiaeUcvmNN2nGWMMi9EOv0dSy35SMSfzt_d=w1024-h768-k-no,
"Mohit Gupta & Company, Chartered Accountants","MZ-17B, Bansi Trade Centre, 581/5, Mahatma Gandhi Rd, Opp. Jaipur Jewels, Race Course Road, Indore, Madhya Pradesh 452003",,,096694 42444,Chartered Accountant,Indore,48.0,4.9,,,"https://www.google.com/maps/place/Mohit+Gupta+%26+Company,+Chartered+Accountants/data=!4m7!3m6!1s0x3962fd4bd57126b7:0x589e15f9744ce724!8m2!3d22.7230498!4d75.8820338!16s%2Fg%2F11jbgrpv65!19sChIJtyZx1Uv9YjkRJOdMdPkVnlg?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFu17vqXroVtciC8Vv1Q-XR_oQEyA__XkJdlC4Np3Z2sbSYwuJR3sR9cJu8zunrXUTaJbu4_aDCf26nQJcwLYuAexO0lzIVgQw-wSDKFuhCqOKamZrdBGDB605GFhkVcFOEtWEM=w1024-h768-k-no,
