name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
The Shining 32 Dental Clinic Braces implant and root canal centre. Best dentist,"104, First Floor, Starlit Tower, Yeshwant Niwas Rd, near Lantern Square, Sanghi Colony, Yeshwant Colony, Indore, Madhya Pradesh 452003",theshining32.in,https://theshining32.in,086021 79039,Dentist,Indore,1557,4.9,22.723738,75.874385,"https://www.google.com/maps/place/The+Shining+32+Dental+Clinic+Braces+implant+and+root+canal+centre.+Best+dentist/@22.723738,75.874385,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd1660af26fb:0x4bdcceef078bfbdc!8m2!3d22.723738!4d75.874385!16s%2Fg%2F11gdqtmxbl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAERu-JnushqAut_97Oy6h8ofzAfPb1Nh6kM3iEhqOSPHezE6hza1kXdKWjEXnsdRG_vhTmUn5N8m5MGqlkQX-IFW--zXfAZwN67-kll7z3zk7zz6rxlhYyAJLRyC_-kRIMgLNg=w1024-h768-k-no,
Smile Dental Clinic Multi Speciality Dental Clinic Implant and Laser Centre Best Dentist in Indore,"322, Greater Brajeshwari, near agrawal fresh, Pipliyahana, Indore, Madhya Pradesh 452016",smiledentalclinicindore.in,https://smiledentalclinicindore.in,098260 92665,Dentist,Indore,1497,4.9,22.701805,75.9130647,"https://www.google.com/maps/place/Smile+Dental+Clinic+Multi+Speciality+Dental+Clinic+Implant+and+Laser+Centre+Best+Dentist+in+Indore/@22.701805,75.9130647,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd227087a10d:0x4bb6ce0b08a4a212!8m2!3d22.701805!4d75.9130647!16s%2Fg%2F1q665rmhw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0jyygvTes42oOmjkyH2JJQHiWzGRyScT8Cxyw3sz1EwFyJ1_U6z68peYFEuvDBA3fxe9p6fj_acamNXlwxeUtoGXxowgZPfEJrvBjsTcqywUtMfnYDBLsQo03_awGdkftKPGpZA=w1024-h768-k-no,
Shivaay Dental Clinic & Implant Center,"201, Krishna Tower, 2/1, Janjeerwala Square, above Meera Chemist, opp. Curewell Hospital Road, New Palasia, Indore, Madhya Pradesh 452001",shivaaydentalclinic.com,https://shivaaydentalclinic.com,078695 84612,Dentist,Indore,1209,4.9,22.727032,75.881801,"https://www.google.com/maps/place/Shivaay+Dental+Clinic+%26+Implant+Center/@22.727032,75.881801,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd40b9ea3a09:0x8615e9a76c8449f8!8m2!3d22.727032!4d75.881801!16s%2Fg%2F11gfhyv0z7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSCSlJeic817Ap3dRYfXdiSMdNluhl_NTYqrBv9tNm337l3qQjI786iqFwnYKCun6zg76zLa0T5FU0INBWplUcrTqVuVxStbgGUOpT78VS4e4rO3a6mbxuBmnOxNxtFzCJp77u8JU7KGcH=w1024-h768-k-no,
Surana Dental Clinic,"103, First Floor, Sanrachna Avenue, Above Sodani Diagnostic, near HDFC Bank, Satya Sai Chouraha, Vijay Nagar, Indore, Madhya Pradesh 452010",suranadentalclinic.com,https://suranadentalclinic.com,094259 21793,Dentist,Indore,512,4.9,22.7557821,75.8965123,"https://www.google.com/maps/place/Surana+Dental+Clinic/@22.7557821,75.8965123,17z/data=!3m1!4b1!4m6!3m5!1s0x396302af45d8f831:0x594d8a0f1d292998!8m2!3d22.7557821!4d75.8965123!16s%2Fg%2F1q62kk3vn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPqKk2dGisGPwBJvzqhqbUAg0N2zskRufKg-S9SdgeGWoFYbv9LCKdv9kfq7z45ZAsAhjg1EP1--nckDqVCQcN0_G0JY72mgYI2ah7pmzqhl8RrDlt4kOd3btNfQDEz9pcuSeCNOalVP45=w1024-h768-k-no,
"Pandey's Dental Clinic [Orthodontic & Implant Center]Best Dentist in indore, Implantologist Dr.Rajeev Pandey&Dr.Pragya Pandey","Shri Krishna Divine, near LOTUS electronics, Marimata Chouraha, Mari Mata Square, Indore, Madhya Pradesh 452003",pandeysdentalclinic.com,https://pandeysdentalclinic.com,089896 46401,Dentist,Indore,360,4.9,22.7336277,75.8502181,"https://www.google.com/maps/place/Pandey's+Dental+Clinic+%5BOrthodontic+%26+Implant+Center%5DBest+Dentist+in+indore,+Implantologist+Dr.Rajeev+Pandey%26Dr.Pragya+Pandey/@22.7336277,75.8502181,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd9ccfa78d79:0xa1f99760b306d511!8m2!3d22.7336277!4d75.8502181!16s%2Fg%2F11rxj98l5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDlcRanC5YGXoEVyfo-XhxqgxBQLy4ei9221p4AsT-D6CIoPepw_9r8BDx9VtRbED0cIRu-vewcbm6lt9uhW4Tw2zZrK9t4yNnVmYjdbrfbBwsv3W4We7O8PLEVcAi6f7Eids=w1024-h768-k-no,
Indore Poly Dental Clinic | Best Dentist in Indore | Invisalign Provider | Root Canal Centre | Facial Trauma Management,"1/4, New Palasia, Indore, Madhya Pradesh 452001",polydental.in,https://polydental.in,094250 55620,Dentist,Indore,315,4.8,22.725532,75.884849,"https://www.google.com/maps/place/Indore+Poly+Dental+Clinic+%7C+Best+Dentist+in+Indore+%7C+Invisalign+Provider+%7C+Root+Canal+Centre+%7C+Facial+Trauma+Management/@22.725532,75.884849,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd3883a19c79:0xcd1b920f981233a6!8m2!3d22.725532!4d75.884849!16s%2Fg%2F1tx8rlrg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHokYAC-RNf6lwezjwEBsCxNWt-saH6oOK1DWMrC-1d0g1SHpfWvTQeuB8R1ZLlKc6xPewCumMZEAzVAB8A8rXC7wpk6yfxjeq284onGWEX3RwdBr2HjBO_k2eh1AEUxWD7Ij3yfv9TL5kq=w1024-h768-k-no,
Dr.Prashant's Dental Clinic,"बाण गंगा, Kushwah Nagar Square Sabji Mandi, कुशवहा नगर चोराहा, Banganga, Indore, Madhya Pradesh 452015",drprashant.co.in,https://drprashant.co.in,092296 65744,Dentist,Indore,3070,4.8,22.7474955,75.840051,"https://www.google.com/maps/place/Dr.Prashant's+Dental+Clinic/@22.7474955,75.840051,17z/data=!3m1!4b1!4m6!3m5!1s0x396302739eb20bd9:0xa9aa6db707e43ff4!8m2!3d22.7474955!4d75.840051!16s%2Fg%2F11hd6vm6g2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAECFqFCikIEysuzYQkK_sp8ZZpX5U35t1QTTvmOmXZNgiZ4etmro5rwnBshD2Nycu89Df31mf9i4-L2rta6TaL82Da9ZMpNLYW4yc4uufZhKEtLbXKPLDrxVyPDGt4Exw3mnrea18-3VcI=w1024-h768-k-no,
UK Dental | Kalani Nagar | Indore,"10, Airport Rd, Anjani Nagar, Parihar Market, Kalani Nagar, Indore, Madhya Pradesh 452005",ukdental.in,https://ukdental.in,099267 77225,Dentist,Indore,545,4.9,22.7247658,75.8252075,"https://www.google.com/maps/place/UK+Dental+%7C+Kalani+Nagar+%7C+Indore/@22.7247658,75.8252075,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd2436ce2ec3:0xff56fa6d541981d5!8m2!3d22.7247658!4d75.8252075!16s%2Fg%2F11vw_vstz1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiJIQyEBQB77Ln_-e_NZI7ESiKRy1zoLTk61D5NmcFIEcJQ4xcnrEjf-5ORgpuxdJ1lLQYPfolH7aquy0e0JSBkXFECMbgqJerFZ_VbxpFb-XwmtwKKCAJfuMNswbpzie8Q37AnE1Wxg_6=w1024-h768-k-no,
Eminent Dental Clinic | Dr. Kumar Prashant | Best Dental Clinic | 24/7 Dental Emergency | OPG Xray Centre.,"First Floor 1, Eminent Hospital, Barwani Plaza Residential Rd, opposite Pristyn care, Near Eureka Hospital, Old Palasia, Indore, Madhya Pradesh 452001",eminentdentalclinicindore.blogspot.com,https://eminentdentalclinicindore.blogspot.com,083700 03232,Dentist,Indore,219,5.0,22.7235904,75.8888369,"https://www.google.com/maps/place/Eminent+Dental+Clinic+%7C+Dr.+Kumar+Prashant+%7C+Best+Dental+Clinic+%7C+24%2F7+Dental+Emergency+%7C+OPG+Xray+Centre./@22.7235904,75.8888369,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdb5ce78e35b:0xc33ef800639f8c70!8m2!3d22.7235904!4d75.8888369!16s%2Fg%2F11sfqvkz65?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEoRjVANlHVa2Tny1-wngq14icBhnCtafRh3rfNz32NWYn_RJpZa-3d-iFAvpq5-z6O7YAlgHeNo016UsmOd2mhVgUU2klpFRoj3YfBQlhMdEoIfHGADgbLif8FPj3hsij0p7Bxou0t6ydw=w1024-h768-k-no,
Bhardwaj Dental Clinic | Best Dental Clinic in Indore | Dentist in Indore,"9-11, Horizon Building, Lower Ground Floor, Nath Mandir Rd, South Tukoganj, Indore, Madhya Pradesh 452001",bhardwajdentalclinic.com,https://bhardwajdentalclinic.com,094244 88558,Dentist,Indore,361,4.9,,,https://www.google.com/maps/place/Bhardwaj+Dental+Clinic+%7C+Best+Dental+Clinic+in+Indore+%7C+Dentist+in+Indore/data=!4m7!3m6!1s0x3962fd15f612c97b:0xb72dff9750c97689!8m2!3d22.720457!4d75.8765951!16s%2Fg%2F1hf8rr7_q!19sChIJe8kS9hX9YjkRiXbJUJf_Lbc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiYYvQHJHxU6dTyimfgwW0azlvQBhDebktQigS3ppEa_Jqqr_mPEmoLdAoWR2u6zmcQ4xHRyQ6dUpVWdMBYpqnWOcwFdniFbE2Lp_d2An3eln5d_e2QjgnFH6JLQ9l1l_8Pqke=w1024-h768-k-no,
