name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Indore Electrical Services | 24/7 Emergency Electrician,"480/7, Atal Dwar Main Rd, Nehru Nagar, Indore, Madhya Pradesh 452011",indorelectricals.com,https://indorelectricals.com,081038 05547,Electrician,Indore,283.0,4.9,22.735662,75.882309,"https://www.google.com/maps/place/Indore+Electrical+Services+%7C+24%2F7+Emergency+Electrician/@22.735662,75.882309,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd20493b2c41:0x1fc89e0a34525472!8m2!3d22.735662!4d75.882309!16s%2Fg%2F11j39yhlfp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZPWRrwN_a9iwJOYTI8824BVPQOLXX6SctGTYAU97Jivt4y-fhm4wc26M47U6x9iS32pxuO4E6TjdmqFJxqSCS76Lz-tHQG4-fMWY8Dj6JIeIfw2aNBRFJ55YQtYNIq5Nyft8=w1024-h768-k-no,
"Pathak Electrical services. All electric solutions, electrician in Indore","10/2, MR 10 Rd, Shyam Nagar Annex A, annex, Indore, Madhya Pradesh 452010",,,062675 16665,Electrician,Indore,301.0,4.8,22.7635268,75.8724934,"https://www.google.com/maps/place/Pathak+Electrical+services.+All+electric+solutions,+electrician+in+Indore/@22.7635268,75.8724934,17z/data=!3m1!4b1!4m6!3m5!1s0x396303bc1d4c87dd:0x77d853ec27b6649!8m2!3d22.7635268!4d75.8724934!16s%2Fg%2F11rk4x49ns?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYqQV73zGhDdASarctvsL-3MszfW25SCvoCouUOeiVrkF5DFoQUyf5hZA4H7cxk3PrESzqYu6kJo7GSxFDhNCZA-7Mik9PHsBjjFomgTKv-Uc0R_aev6UD5uLlvA6hWy7wbvsSYA=w1024-h768-k-no,
Aman electrician,"Ashirwad complex, Kanadia Rd, near Bengali Square, Bengali Chowk, Indore, Madhya Pradesh 452018",,,086021 11657,Electrician,Indore,170.0,4.7,,,https://www.google.com/maps/place/Aman+electrician/data=!4m7!3m6!1s0x3962e3f9510bead5:0x326096724ecece47!8m2!3d22.7209279!4d75.9002274!16s%2Fg%2F11qnqhry55!19sChIJ1eoLUfnjYjkRR87OTnKWYDI?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXTc8YC_dk9VC-wWdKL2SKAuom6iTDp8jAub78skhcbQvoQHKJLn6k1suwKp-i4x9-TawViFE0T-4BkJGEYJ8k7KTfgYwOuSBicCsL5aZtRnbHGmECQgxl5tZk6ndh30niM2GM=w1024-h768-k-no,
Certified electrician Yogesh chouhan,"Bangali square, Mahadev Totla Nagar, Indore, Madhya Pradesh 452016",,,062633 84818,Electrician,Indore,52.0,4.9,22.7177185,75.906608,"https://www.google.com/maps/place/Certified+electrician+Yogesh+chouhan/@22.7177185,75.906608,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e3a0da173837:0x847c814fb6abde50!8m2!3d22.7177185!4d75.906608!16s%2Fg%2F11nk8wz0lt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2jiJmRImiCoH4pGnj98WfDwCnvlj4a6oYHGa_hkKHnvl0qVzwSbj4hrM9Bbr_8cbVCKYnebAFHWr6FOW9SNXlFgpqpi7B7c72nVM6XC1RHJAJUKVMYbCmCZNqKSTkb2L-v9gAGyOtfg6Z=w1024-h768-k-no,
Artf all electric solution,"MISHRA WALA RODE, 417/A, Gali Number 11, Chandan Nagar, Indore, Madhya Pradesh 452002",,,099070 73585,Electrician,Indore,631.0,4.9,,,https://www.google.com/maps/place/Artf+all+electric+solution/data=!4m7!3m6!1s0x3962fdf3cbec2433:0x5f2118ffdc4a11f2!8m2!3d22.7109176!4d75.8245275!16s%2Fg%2F11grszp0vw!19sChIJMyTsy_P9YjkR8hFK3P8YIV8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoRP454TXDOFzoicx8aDGgU8mjMxM2-Z4ukSq4JWfaQiqQXffS_MCAznFyNgdtfviPoLhfWRzU-dWgmxMm23-q_DXpfSOPQaPvMq_fu-iWYXwLeZH_0Sv3NhQSBcqsScSlSDb-VQ=w1024-h768-k-no,
Electrician saddam,"31, Saket 5, Sanvid Nagar, Indore, Madhya Pradesh 452016",,,096443 39290,Electrician,Indore,185.0,4.8,,,https://www.google.com/maps/place/Electrician+saddam/data=!4m7!3m6!1s0x3962fd65adfd7ba7:0xc3b713af3ea2e748!8m2!3d22.7248663!4d75.8971596!16s%2Fg%2F11j7d010sv!19sChIJp3v9rWX9YjkRSOeiPq8Tt8M?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUXnCHArCRruIqwTuPuGGM4jSGQHw09eLEohN_wINNeWNMEORQCVfrwtxdGaKgYWr65cLpilvgv8TAbXwk5thCZsKyey0a_HgXjxceG_o5EVAbyeVxzloaorTVnYsrV6VZiQ=w1024-h768-k-no,
Sharfe Electrical Services,"damru ustad Chauraha, Lal Gali, Kulkarni Ka Bhatta, Pardesipura, Indore, Madhya Pradesh 452003",sharfe-electrical.grexa.site,https://sharfe-electrical.grexa.site,091288 44486,Electrician,Indore,239.0,5.0,,,https://www.google.com/maps/place/Sharfe+Electrical+Services/data=!4m7!3m6!1s0x3962fd184d1b39e1:0x811a2e892baeff5d!8m2!3d22.7460524!4d75.8666027!16s%2Fg%2F11wn8kzzql!19sChIJ4TkbTRj9YjkRXf-uK4kuGoE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSC7JeLzSQzi12f89Rq5BSDzN_qJATYwh2lYQbwWR1FBktzKoehbcS64SCRtCzsrMoZXPYaW8nPukgXRbU6cGmZSuRIXGH-O2lD5ODb1oKikBkZP2XAWDsdz_Dn3TGun_pLlttTA=w1024-h768-k-no,
Dharmendra electrical sarvice indore 24/7 emergency,"Vijay Nagar, Scheme No 74, Indore, Madhya Pradesh 452010",instagram.com,https://instagram.com,095895 05443,Electrician,Indore,14.0,5.0,,,https://www.google.com/maps/place/Dharmendra+electrical+sarvice+indore+24%2F7+emergency/data=!4m7!3m6!1s0x26d65ff418687293:0xd3e73e886bed2922!8m2!3d22.7554171!4d75.8964679!16s%2Fg%2F11z7kvl0nm!19sChIJk3JoGPRf1iYRIinta4g-59M?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL2U5JqoF5QNVOC1Y62-qnDvl8c_MhvWpNQpIz5DzTjTnNor42F0aaiizghur9mHfBD-_Lszc3_H_6bfbMbUKJvriHtiWjgZ8J7iGhT-pSdtVmh0qNv2p49hYM-hwFllEjTe4oDfjqmxrB=w1024-h768-k-no,
"My Electrician (Vinod patidar) Door step Electric solution, Electrical solution , electrician in indore","1582, near shalimar palms, Greater brijeshwari, Shalimar Palms, Indore, Madhya Pradesh 452016",,,097534 18737,Electrician,Indore,159.0,4.9,,,"https://www.google.com/maps/place/My+Electrician+%28Vinod+patidar%29+Door+step+Electric+solution,+Electrical+solution+,+electrician+in+indore/data=!4m7!3m6!1s0x3962e354b3544501:0xda95fe625ee114e0!8m2!3d22.7009497!4d75.9169839!16s%2Fg%2F11q1pff_3w!19sChIJAUVUs1TjYjkR4BThXmL-ldo?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGBryOoNubcGye7dNYFagWtO88CSbcXRTUDYDgfXNz0hsQnkQn9ulbYhEABZwM62QIVVXvq3PLxXey1p0m5O_31TrKHtMx7VCYnUrDU4mhPdpgFNwDdLyBwMw_-bsVEJVuwzXKew=w1024-h768-k-no,
Mahendra Electric Contractor-best electrician in indore,"23/5, Parsi Mohalla, Chhawni, Indore, Madhya Pradesh 452001",mahendra-electricals-portfolio.framer.ai,https://mahendra-electricals-portfolio.framer.ai,073895 99110,Electrician,Indore,106.0,5.0,22.7075497,75.8761227,"https://www.google.com/maps/place/Mahendra+Electric+Contractor-best+electrician+in+indore/@22.7075497,75.8761227,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd5285a6e0b3:0xa5dda03bb9616bae!8m2!3d22.7075497!4d75.8761227!16s%2Fg%2F11vbgrjj82?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwhl_c4h05xAovGu-wIh8Knu7TrdOW3OKGq7fm-HFzEnMGIuH9Id0fk24-N-LhOqCuruXtwueoxpMYZ5ifEFRQUY0zip5CuGA6HxlduPghoFoQrauPOc4yqVzqtfibGEyIwQxIpFj8M9Tq=w1024-h768-k-no,
