name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
"Wooden Street - Furniture Shop/Store in Vijay Nagar, Indore","Plot No. 51, Last Lane, behind C21 Mall, PU 4, Near Vijay Nagar Square, Vijay Nagar, Scheme 54 PU4, Indore, Madhya Pradesh 452010",woodenstreet.com,https://woodenstreet.com,093144 44747,Furniture Store,Indore,747.0,4.6,22.7441157,75.8974262,"https://www.google.com/maps/place/Wooden+Street+-+Furniture+Shop%2FStore+in+Vijay+Nagar,+Indore/@22.7441157,75.8974262,17z/data=!3m1!4b1!4m6!3m5!1s0x396303b3cab7b301:0xd71e1f594697d3a3!8m2!3d22.7441157!4d75.8974262!16s%2Fg%2F11gwmszj70?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0OAt7pGb2PHjrWVpuPHJAcnwFKcNrT66Z3nLZahAOUQjDYUIraG6IrX7KsMt8UEGxWZ3PnI3pyRplJQPE_3nQwNdCC6Co6POsm4uOo7WT07H7MI1UMZUqie8-QSheKm3sFHTVJxUwWKZ9=w1024-h768-k-no,
Evokhomes Furniture and Home Decor - C21 Mall,"1st Floor, Malhar Mega Mall, Ab Road,Near C21 Mall, PU-4 Scheme-54, Sheetal Nagar, Indore, Madhya Pradesh 452010",evok.in,https://evok.in,0731 428 2882,Furniture Store,Indore,322.0,4.2,22.7447242,75.894539,"https://www.google.com/maps/place/Evokhomes+Furniture+and+Home+Decor+-+C21+Mall/@22.7447242,75.894539,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd542123f707:0x66b9a64136eb5cad!8m2!3d22.7447242!4d75.894539!16s%2Fg%2F1hjh53xhb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFt3eojCcaOXFq-yl1J6UxFhvLO1zE8C-52ayvWPca3TYVaju0EduP-wewSxzd5rF3vIbTfE-BqO8arUViLndv0DPznX9JC3EolvG5wJq6dPUTrXmk2mc_S7ryWU0-ZHCZb-xHyS_2OdRmb=w1024-h768-k-no,
"Interio by Godrej - Furniture and Mattress Store in Sector E, Indore","Brillant Star, near Bapat Square, Vijay Nagar, Sector E, Scheme No 54, Indore, Madhya Pradesh 452010",stores.godrejinterio.com,https://stores.godrejinterio.com,082912 87368,Furniture Store,Indore,854.0,4.5,22.7544157,75.8814564,"https://www.google.com/maps/place/Interio+by+Godrej+-+Furniture+and+Mattress+Store+in+Sector+E,+Indore/@22.7544157,75.8814564,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd46c5555555:0x7d8c74c894576850!8m2!3d22.7544157!4d75.8814564!16s%2Fg%2F1wz513bc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF30KjyF4WJHh-WzCqY-OPS9REI6ZLvzOhMdSh6n4hkccfzOzCLsHRBiHNRCk47_VY0VFdWVX3kD27ts6uzImghO780Z7EfY0GGDldakOQk1nEnQP5UMGiZU3nh8N6BW7nB9zV2du7l4ZfH=w1024-h768-k-no,
Balaji Furniture,"339, Jawahar Marg, South Toda, Indore, Madhya Pradesh 452007",,,,Furniture Store,Indore,1380.0,4.0,22.7164965,75.8606711,"https://www.google.com/maps/place/Balaji+Furniture/@22.7164965,75.8606711,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd09e6aaa18f:0xadbc7b28caac8a4b!8m2!3d22.7164965!4d75.8606711!16s%2Fg%2F1tqfzr2m?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkMTREAbEPsNn_mqfiRjgN_SnOvB6ULAoTkp1O8xcANYrLSt67U6QSrNbI6j97OIRflzqR8DSNfxOdDoi11w1dOnXNGLoJSw-hMbtwoBMcLBKl5cwu1uUfVoAnwGJ0vlztTL6j3g=w1024-h768-k-no,
Furniture PRIDE,"380 SAKET NAGAR MAIN ROAD, NEAR PATRAKAR SQUARE, opp. EUREKA HOSPITAL, Old Palasia, Indore, Madhya Pradesh 452018",furniturepride.co.in,https://furniturepride.co.in,080 4812 8150,Furniture Store,Indore,166.0,4.4,,,https://www.google.com/maps/place/Furniture+PRIDE/data=!4m7!3m6!1s0x3962fd34f83a897d:0xc4bc5a85b01ba488!8m2!3d22.7231212!4d75.8965629!16s%2Fg%2F11bxg0d5tk!19sChIJfYk6-DT9YjkRiKQbsIVavMQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdWWh9eW7g_h1YwnwLTtFWTzOdFAp7nHzzJW75ESd_pOLVglWcWll-_FRlqgCFg1tXv7eFJfhKUXFp00BdZ0EOYNc82PIfWWw0rPVO8DraQMhMVRR_5rcCiQ9ftgwi-2um6dcLqg=w1024-h768-k-no,
Home Centre|Furniture Store - Phoenix Citadel Mall,"F36 & 37, 1st Flr, Phoenix Citadel Mall, Khajrana, Indore, Madhya Pradesh 452016",stores.homecentre.in,https://stores.homecentre.in,1800 212 7500,Furniture Store,Indore,927.0,4.8,,,https://www.google.com/maps/place/Home+Centre%7CFurniture+Store+-+Phoenix+Citadel+Mall/data=!4m7!3m6!1s0x3962e3634558f8f1:0xb966bce201a8e159!8m2!3d22.7458382!4d75.935376!16s%2Fg%2F11tmfxyhj9!19sChIJ8fhYRWPjYjkRWeGoAeK8Zrk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7rnKux3BCmFvQQkc-GXUeoF2dtu9qhjNvJXvM4on5pdMf9v-4ZSTbbL_r-g65WUk0TXedGVoQvA2q5RtjcBYWk_SW20R2oB3ZMFYTtSzDRmDh08hOJat_XVMtygzg04-yfBovWZEq8TyY=w1024-h768-k-no,
Royaloak Furniture Indore,"C21 Mall, AD-203 Scheme No 54 PU4 Behind Mallhar Mall &, Vijay Nagar, Indore, Madhya Pradesh 452010",stores.royaloakindia.com,https://stores.royaloakindia.com,079 4276 2763,Furniture Store,Indore,227.0,4.9,22.7452086,75.8952189,"https://www.google.com/maps/place/Royaloak+Furniture+Indore/@22.7452086,75.8952189,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd9ea27d1d73:0x198d065d8453bfbc!8m2!3d22.7452086!4d75.8952189!16s%2Fg%2F11zj51kpc8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhPuBaDOkzqtwPr7LOYLxjZuPy0ioIv6hFKCjZswAbfLJLTKSTBLvGC-duoFRZEdXr0kP_dg1yp7g6DiTadMbUwyu9lfbz5XonJVBoEcuDpsfMP4vqXcOVWte0CMPMXf6ur7TWDqaeyCU=w1024-h768-k-no,
Grandeur Homes- Furniture Store in Indore,"11/6, Meera Path, Dhenu Market, Indore, Madhya Pradesh 452001",grandeur-homes.com,https://grandeur-homes.com,,Furniture Store,Indore,20.0,5.0,,,https://www.google.com/maps/place/Grandeur+Homes-+Furniture+Store+in+Indore/data=!4m7!3m6!1s0x3962fde286e252e3:0x1912cd8d0205c98e!8m2!3d22.7215684!4d75.8702998!16s%2Fg%2F11yts7zh8s!19sChIJ41LihuL9YjkRjskFAo3NEhk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2VwKwFDo4U3wWp7xN_bh3X1C687FMuIzzaEb_Q9KlFd_qj0nKGPJy1-CZCQk55RLrek01ZdHa52rNuxFai71m_yM2x1z9Lm4OBG4F0z9iVieBrT3z5MIB8EsnObHjKCoQ4gTwUFHOp9c=w1024-h768-k-no,
Steel Home - The Furniture Shop/Store near me |Home Furniture|Office Furniture|Furniture Manufacturer in Indore,"2nd Floor, 37, Hemilton Rd, near Kishanpura Bridge, nearby Paliwal Dharamshala, Tilak Path, Indore, Madhya Pradesh 452002",instagram.com,https://instagram.com,079997 95590,Furniture Store,Indore,431.0,4.8,,,https://www.google.com/maps/place/Steel+Home+-+The+Furniture+Shop%2FStore+near+me+%7CHome+Furniture%7COffice+Furniture%7CFurniture+Manufacturer+in+Indore/data=!4m7!3m6!1s0x3962fd3b636e8057:0x9e381e206e21718d!8m2!3d22.721882!4d75.8576716!16s%2Fg%2F11s8z9d09_!19sChIJV4BuYzv9YjkRjXEhbiAeOJ4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7_U_FCMErbU8v9CfupM9mwxiYiLRPmqJCaR6lB7lnDY0kI-BkvNEYApTHiNxdwXLqDWNBLBgRGDlRTPCS5Th_Gtv3GQQrI3q4gxXAQJrd3-9nldhLj4FYpcbIsEXmEpgoi9HKwA=w1024-h768-k-no,
Bharat Lifestyle Furniture,"102/7, AB Rd, opp. Volvo Car Showroom, Dewas Naka, Lasudia Mori, Indore, Madhya Pradesh 452010",bharatlifestylefurniture.com,https://bharatlifestylefurniture.com,088890 99963,Furniture Store,Indore,718.0,4.5,,,https://www.google.com/maps/place/Bharat+Lifestyle+Furniture/data=!4m7!3m6!1s0x39631d5c5234a5af:0x38194ab10e3e7c69!8m2!3d22.7898708!4d75.9076219!16s%2Fg%2F11f4ysvtmg!19sChIJr6U0UlwdYzkRaXw-DrFKGTg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmvr9BrSKfKCW0XMLcSq8s61QuE2WpewO5Gqsvv6c5Xw5c5LebCaycodVymhMMOicBml57EvJYWZGC_X3Ea65WmK_MiRY6OqOZFqXsyzR9P1p7AdnCOT7I-zebZUFG9moF4N_emQ=w1024-h768-k-no,
