name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Six Pack Fitness Club Saket | Best GYM in Indore,"1st Floor, 2nd Floor, 64 Srinagar EXT., Above HDFC Bank, Khajrana Road, Square, near Chandra Lok, Indore, Madhya Pradesh 452018",,,083492 94444,Gym,Indore,210,4.4,,,https://www.google.com/maps/place/Six+Pack+Fitness+Club+Saket+%7C+Best+GYM+in+Indore/data=!4m7!3m6!1s0x3962fd35e4037369:0x1a9591c341ba952f!8m2!3d22.7300617!4d75.8979227!16s%2Fg%2F11g8tzd1pc!19sChIJaXMD5DX9YjkRL5W6QcORlRo?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrJS449B9Gc1L9-LdOoIqh7kkpJEJ2Cbr1sCJrigZjHtLMWUoU1Hz6Rt4CSyIw2xponst-O4rXvFWmHpx2veMGIb0goIJ5a7xI4wEZNiTCtompHVxuQf4xlQEELOxxWjIrtC8=w1024-h768-k-no,
Ms gym,"149, Scheme number 103, near Anand Vihar Gate, Keshar Bag Road, Junction, near Dhaba, above Quality Mart, Indore, Madhya Pradesh 452012",msgym.in,https://msgym.in,062657 23331,Gym,Indore,61,4.1,22.6772335,75.8417429,"https://www.google.com/maps/place/Ms+gym/@22.6772335,75.8417429,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdacafce6e61:0xafe47eb119116136!8m2!3d22.6772335!4d75.8417429!16s%2Fg%2F11vlv36ql8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFl7i2xYSRiQYXtGi_gpCKLzF_QT1KRExWzwt6KVWP0YgA1u-Gv3493zFiZn-lqsQMX7WNBISXifS5Pgj2kvhc37q0k7-RqwUbaPU6U-3zIhkbnpnqYoKakVSo8pkDSZr7hRWpM=w1024-h768-k-no,
DNA Fittness Zone | Gym In Indore,"62, Shree Nagar, Extension Near Anand Bajar, Khajrana Rd, opp. SBI Bank, Indore, Madhya Pradesh 452018",,,078983 90891,Gym,Indore,81,4.7,22.7300056,75.8977906,"https://www.google.com/maps/place/DNA+Fittness+Zone+%7C+Gym+In+Indore/@22.7300056,75.8977906,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd4b32bd6c61:0x58f2dec59f27a2e2!8m2!3d22.7300056!4d75.8977906!16s%2Fg%2F11b77zgx1l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGN8AjNe6T6cyx8ImOGO9AFEprTYJv0_n12XDrGhMtyMeZHoARk8hh9uxaeQdpqsDEA35wxrwB7-ZR5xDa407LoN9z3KSKZ1VuDG20UwJnzMq0zo01dIomi1P0nhJLcBixooodHUA=w1024-h768-k-no,
Bodyline gym,"Itawaria Bazaar, 85, Hukumchand Marg, Itawaria Bazaar, Maharaja Tukoji Rao Holker Cloth Market, Indore, Madhya Pradesh 452002",instagram.com,https://instagram.com,096445 62525,Gym,Indore,534,4.8,22.7166348,75.847835,"https://www.google.com/maps/place/Bodyline+gym/@22.7166348,75.847835,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fda6aea062f9:0xa0218018835f5dc8!8m2!3d22.7166348!4d75.847835!16s%2Fg%2F11dyndny8h?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrKOzEXeGV-YyAosFiKQALsEOAqocmxhFjSK7p1fKIsBmDlbAmcHg5SdwX65rtg5ZAsz27JAgS9L5HnhySCqudG4TP3oKzB0f_EcHGYgJnDnLr6ldb3iuryMGa-py40VrXajD8=w1024-h768-k-no,
Alight Fitness Gym,"85, Hira Nagar Main Road Lavkush Awas Vihar Colony, DDU Nagar, Sukhlia in front of kankeshvari ground mr 10, to, iti road, Indore, Madhya Pradesh 452010",,,096306 94258,Gym,Indore,527,4.8,22.7594696,75.8699896,"https://www.google.com/maps/place/Alight+Fitness+Gym/@22.7594696,75.8699896,17z/data=!3m1!4b1!4m6!3m5!1s0x39630291430aff81:0xc237eff45edfc19d!8m2!3d22.7594696!4d75.8699896!16s%2Fg%2F11fy1f0m8q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0P2LZbkBXEdw4jmbXlNkSKzARgs8nwiiy_DXL3WQ_ne7spPXK8DUDymvYifr-6n_MJqdYyPKQJ778INjXD0sWRoUw7bsUWTugX7dVnMjKcTg4bSdknxls9mGZkhyGTw9CGUSNKPDpkxM=w1024-h768-k-no,
RIPD Gym and Fitness Club,"2nd Floor, Brilliant Star, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",ripdfitnessclub.com,https://ripdfitnessclub.com,079996 76836,Gym,Indore,93,5.0,,,https://www.google.com/maps/place/RIPD+Gym+and+Fitness+Club/data=!4m7!3m6!1s0x396303da941648e3:0x1dbb8e533af50c8f!8m2!3d22.7544643!4d75.8815137!16s%2Fg%2F11xfpp1mrc!19sChIJ40gWlNoDYzkRjwz1OlOOux0?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvayFfZerJnru0Ez9SkM7CuwXyByFcT2m2IzZplJ9jrx0ERz4544Fr0m4YWhrh-oK_AeyhswqtBH3K64o0iEt3XLHkdbbLSus_CzzZkUwjSry1Xze2gxd-dxhu4rM541WyZt2-MJ9AtoQf=w1024-h768-k-no,
Radhe's Fitness Gym,"4, Prakash Nagar Rd, near R. K. Hospital, Khandelwal Nagar, Navlakha, Indore, Madhya Pradesh 452001",radhefitness.in,https://radhefitness.in,099075 34107,Gym,Indore,324,4.8,,,https://www.google.com/maps/place/Radhe%27s+Fitness+Gym/data=!4m7!3m6!1s0x3962fd85e2dd99d7:0x8954f9e7def4833f!8m2!3d22.6974815!4d75.8789306!16s%2Fg%2F11j2lh5s3d!19sChIJ15nd4oX9YjkRP4P03uf5VIk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIEh8Bi0ygA99395stUJQq3ps-iMj126GupazJT8iC4RiYv3p9IInkASIwbt_RU4C8DJwJcjikqCVokuYqyGpkvPmIlrB-rXTOGtaz-reTa1hELpRC_FpIzlVBX47zbJUjsey--zJTb-A=w1024-h768-k-no,
Anytime Fitness,"4th floor, Satya Sai Square, Benchmark Business Park, Unit no-415, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",anytimefitness.co.in,https://anytimefitness.co.in,092160 55345,Gym,Indore,595,4.6,,,https://www.google.com/maps/place/Anytime+Fitness/data=!4m7!3m6!1s0x396303a2edfbb421:0x1f777e6e387af234!8m2!3d22.7545176!4d75.8982093!16s%2Fg%2F11h23m5y8j!19sChIJIbT77aIDYzkRNPJ6OG5-dx8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFauWEbcamPKvmyGeChRyMYiEzaWVhkRpDW3tvwVmUbW9LhL9QAF1fmTRPyAMe4SikKr0uBasqEuAQGI63e3PaEhkL_QrgBmmqdICA30wkUKYH-kyeyUQA_AIbSAYf2JJJt3-w=w1024-h768-k-no,
Fit Republic by Vineet,"Bhaskar apartment saket, Gulmohar Extension, Paliwal Nagar, Indore, Madhya Pradesh 452018",,,098262 12222,Gym,Indore,465,4.9,,,https://www.google.com/maps/place/Fit+Republic+by+Vineet/data=!4m7!3m6!1s0x3962e3ce6c0bc4b1:0xe3071853dd3b9c8b!8m2!3d22.7251119!4d75.9008322!16s%2Fg%2F11j3ryzcjj!19sChIJscQLbM7jYjkRi5w73VMYB-M?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAXsxz6L2QpXK8en_RAS4UMi56JLkJ5lvDBbsWSO-j3wFZTtMxTiguzVnFlbhHjlZF2nfp7ix-YEmA2FKOdvGw6cTCqaHHjQXptbhimrurIelPBX4W68RzonAedMqHPAMyLUYQ=w1024-h768-k-no,
SR FITNESS HUB (GYM ZUMBA CARDIO),"122, A BLOCK, 120-A, near CLUB HOUSE SILICON, Silicon City, Indore, Madhya Pradesh 452012",,,088890 77776,Gym,Indore,776,4.8,22.6459069,75.8310929,"https://www.google.com/maps/place/SR+FITNESS+HUB+(GYM+ZUMBA+CARDIO)/@22.6459069,75.8310929,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fb8b5b079f2f:0xf6c34615f38d6ee6!8m2!3d22.6459069!4d75.8310929!16s%2Fg%2F11f3n9vyr2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNYpqzfwslMUi2bddwIItw5owkRsdJjw8paNWv1sfOuDlSAMIEBChrrCCUAw5C3gY2RZ5D_lCAvDgyuwr141d-nitWYMiDP7rv78Q3wxn4-Ka2aBbl63PYChCqqfG-zz70cRi_=w1024-h768-k-no,
