name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
SAAJ - The Decor Shop | Home Decor In Indore,"Above Ghar Aangan, 52, near Bengali Square, Shukh Shanti Nagar, Indore, Madhya Pradesh 452018",instagram.com,https://instagram.com,091092 46856,Home Decor,Indore,160.0,4.5,22.7171876,75.9121937,"https://www.google.com/maps/place/SAAJ+-+The+Decor+Shop+%7C+Home+Decor+In+Indore/@22.7171876,75.9121937,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e3abe479ffa1:0x4b625b819721ac83!8m2!3d22.7171876!4d75.9121937!16s%2Fg%2F11s19ckq0z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuG8YqVe-NVFe-ZeNKpblz_2TCSWemjTU-KAKbFTaWxS1ZBs3h1LmZ7jpUQlewyDvwWTeafM7pNptaSYvBY8AJ_hpwkh34sb6evfvpZ69dS72fAulcAOWYGsVbBu7K8K7jAMKx=w1024-h768-k-no,
Shapes Home Decor And Furniture,"206-207, behind C21 Mall, Behind C21 Mall, Scheme 54 PU4, Indore, Madhya Pradesh 452010",instagram.com,https://instagram.com,,Home Decor,Indore,142.0,4.7,22.7442764,75.8955655,"https://www.google.com/maps/place/Shapes+Home+Decor+And+Furniture/@22.7442764,75.8955655,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd728f10ea2f:0x8d544d291c392831!8m2!3d22.7442764!4d75.8955655!16s%2Fg%2F11y9y61kv7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEB5qJnaSMMcz57kiqcfXejAFylHrgTHPdcDKHzM6hW1fDUUAdonBq0kyLwldoOLDxDu_0EPx3DbdJXRlQvtsaSPzcOv9f2gXwAU38fW0jIuB2lT3owsVzUaaefZXck2Ryco_c4rfh6iDM=w1024-h768-k-no,
Shapes home (Old Armonia Home Decor Indore),"206-207, behind C21 Mall, Behind C21 Mall, Scheme 54 PU4, Indore, Madhya Pradesh 452010",instagram.com,https://instagram.com,094253 12342,Home Decor,Indore,30.0,5.0,22.7442764,75.8955655,"https://www.google.com/maps/place/Shapes+home+(Old+Armonia+Home+Decor+Indore)/@22.7442764,75.8955655,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd083fa0f949:0x55958679e1874a35!8m2!3d22.7442764!4d75.8955655!16s%2Fg%2F11wq9kf48q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEo-l9sLIh71DI5KFslctp2sFfIZLBQa8ZfIyUuhodn76xszDuzRh19PD41iwfnjLCUmyl3SRVE7W5zk8EKbNzCsPH5d-5M99I-Y9akR080lg3nTKIYGH935jAERG2CicglX3ROA=w1024-h768-k-no,
Shilp Decor,"SHOP NO. 101, SHREE ARCADE, 1-N, Kanadia Main Rd, Sanchar Nagar Ext, Sanchar Nagar Extension, Indore, Madhya Pradesh 452016",shilpdecor.in,https://shilpdecor.in,097531 35433,Home Decor,Indore,107.0,4.8,22.7231681,75.9181492,"https://www.google.com/maps/place/Shilp+Decor/@22.7231681,75.9181492,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e2c15f494817:0xfb6e4c520a6e79a8!8m2!3d22.7231681!4d75.9181492!16s%2Fg%2F11f1zlkhtt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOtXwKns97EEU5AK48rp_gwDgzWSiYuYYdyq4otHJfbdNITd83UmxSQNa43d8hGEYEknin7LUgIb0RV3cs6nkUNixh3yEt8YTL1cnkM_oV7F5bRCuX5mkOim48vO0wiY64FMKL=w1024-h768-k-no,
Tirupati Home Decor - Best Home Decor Shop in Indore | Interior Decor Shop in Indore,"156, Dhar Rd, G N T Market, Scheme 71, Indore, Madhya Pradesh 452002",,,098269 54204,Home Decor,Indore,21.0,4.6,22.7104394,75.8348068,"https://www.google.com/maps/place/Tirupati+Home+Decor+-+Best+Home+Decor+Shop+in+Indore+%7C+Interior+Decor+Shop+in+Indore/@22.7104394,75.8348068,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd04ff0d12a3:0x588cd79a03924943!8m2!3d22.7104394!4d75.8348068!16s%2Fg%2F11w3_l5f9z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqOgTTUWrs9VWwdDrwsQ7eoPp0ZeptZS92L6KC6qN0-khjvwLKDdSWOufXbuBuMwDTbWyoo_wKZFnAvnzkqaxAsxMTCyr7pvkAq1D3AcK1eWTWCvjZK3idu-yvNkk_bXgU__rC=w1024-h768-k-no,
Home Stories - best crockery store in indore,"Shop 4, The Row Eight, opp. Grand Exotica, Bicholi Mardana, Indore, Madhya Pradesh 452016",,,099262 91999,Home Decor,Indore,195.0,4.8,22.7023709,75.9223608,"https://www.google.com/maps/place/Home+Stories+-+best+crockery+store+in+indore/@22.7023709,75.9223608,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e320ea69b3b3:0xab05e5601feb2bbb!8m2!3d22.7023709!4d75.9223608!16s%2Fg%2F11s0t64gz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVdRCPJQraA0S8iGO6yA9bHtZV0tXHzA54e9r9Nkg2qoi1HmGs1fulIDlQpOg5KK-zLCh27bX-DVL7aQYYG8YgexRH-KTCtgR49Z1W16ZZ84F1aaX8Jb2sNy8tWnEr2NZDEiA=w1024-h768-k-no,
Saify Home Decor - Best Interior Decor Showroom In Indore,"125 A, Dhar Rd, G N T Market, Gurunanak Timber Market, Indore, Madhya Pradesh 452002",instagram.com,https://instagram.com,,Home Decor,Indore,89.0,4.7,,,https://www.google.com/maps/place/Saify+Home+Decor+-+Best+Interior+Decor+Showroom+In+Indore/data=!4m7!3m6!1s0x3962fd3317f8008f:0xb474c7a37c168fcd!8m2!3d22.7113938!4d75.8347867!16s%2Fg%2F11tx96q7c9!19sChIJjwD4FzP9YjkRzY8WfKPHdLQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpopkz26E3qC5balbUXkR_zjb2ZN1XQsNB7pKntGKm7dzL8zgBfMFUviVWolIGgkCSqkBCZNVXNGXnfgZAz9MGMrX5SCdab6bQXEZsG2K6jEnDGh9Fn2jccRsc3Zjd7CVPVyrBTggOnnCJ=w1024-h768-k-no,
Home Decor Indore,"379, Jawahar Marg, opp. Old IDA building, Siyaganj, Indore, Madhya Pradesh 452007",,,,Home Decor,Indore,1.0,5.0,22.7159507,75.8655199,"https://www.google.com/maps/place/Home+Decor+Indore/@22.7159507,75.8655199,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fda147b9e7f1:0x7e3896d736a5b4cd!8m2!3d22.7159507!4d75.8655199!16s%2Fg%2F11yljrdmtk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SNRzfVaE9mWsWqauYqCaJw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.384634&pitch=-1.4046686&thumbfov=100,
D'Decor Store - Indore,"Harmony Furnishing, Princes Business Skypark, near Portico, Scheme No 54, Indore, Madhya Pradesh 452010",ddecor.com,https://ddecor.com,0731 499 5994,Home Decor,Indore,50.0,4.5,,,https://www.google.com/maps/place/D%27Decor+Store+-+Indore/data=!4m7!3m6!1s0x3962fdeed62ea537:0x7f92f475fe4245f0!8m2!3d22.7458507!4d75.8930609!16s%2Fg%2F11gnt1q6mq!19sChIJN6Uu1u79YjkR8EVC_nX0kn8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGlho82bQhFyLBkEjW1YSWG0NOeb15DozQgHvQIuJwUmCSp5BLV7GbGar7na4VuSVDOXt58ANxXuHmWsPhXlsPmVXT5t6FV_1gmy1-GaoKWgQpJUTgNHxFWca2fuLrae4vouNcQ0o5l1CV=w1024-h768-k-no,
Mayra Decor And Interiors,"Ground Floor, Plot No. 41, behind C21 Mall, Scheme 54 PU4, Indore, Madhya Pradesh 452010",mayrahomes.co.in,https://mayrahomes.co.in,092380 77121,Home Decor,Indore,53.0,4.8,22.7448342,75.8973474,"https://www.google.com/maps/place/Mayra+Decor+And+Interiors/@22.7448342,75.8973474,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd00213a5c5b:0x5b50e83377c458dc!8m2!3d22.7448342!4d75.8973474!16s%2Fg%2F11lclncfrr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFw7IDk__9EjMz4NfwmuWOOx56gvX5Ba_xN2HdiqRpTXSU_IuOthWKCt6TmfkyZqGLpIk8AFyiCCP0-KPUIojpdmrGcOf2oDIp3mhlv3I0O-1s1hwjWd0015iqAS6cd38nuv3BBe-rBnYcJ=w1024-h768-k-no,
