name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Apollo Hospitals | Best Hospital in Indore,"Sector-D, Vijay Nagar, Scheme No 74C, Indore, Madhya Pradesh 452010",apollohospitals.com,https://apollohospitals.com,080 6904 9755,Hospital,Indore,25322.0,4.8,,,https://www.google.com/maps/place/Apollo+Hospitals+%7C+Best+Hospital+in+Indore/data=!4m7!3m6!1s0x396303bd0d6aa29f:0x17b069d0af3202ff!8m2!3d22.7575019!4d75.8851377!16s%2Fg%2F11rhnrb3lj!19sChIJn6JqDb0DYzkR_wIyr9BpsBc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFikDsy0kLd0AyCo2gZjnkQWoWiReSN1o6VQjkNOS3rq0_OT50M989DI2A9IR6h6UOQFrmI5rg2HLGZ7aCvnipQANh_DKBbL7zLLHuEzf2Q9Fd09ZbmMPkSqhEVNCWy9lvfGbc2PcwjpIk7=w1024-h768-k-no,
"Shalby Multi-Specialty Hospital, Indore","Part 5 & 6 R S bhandari Marg, Janjeerwala Square, Indore, Madhya Pradesh 452003",shalby.org,https://shalby.org,070499 18800,Hospital,Indore,12879.0,4.7,22.729189,75.8791901,"https://www.google.com/maps/place/Shalby+Multi-Specialty+Hospital,+Indore/@22.729189,75.8791901,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd41a51a4d29:0xd3ab2459a9410cb!8m2!3d22.729189!4d75.8791901!16s%2Fg%2F11cmsx_s9t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4HiUa8TG5YNu87TQsC-U6BN6ZosQloKiZd8qLk3uS0-rkMssH4dBK9nc9ioZoawj_5XWkQEGAWlk71KhBeQ4VqdoEBg298-6OmB9wBBBfcgyq9_-bT_KzwUsJG9RsqPNRIZo=w1024-h768-k-no,
Medanta Super Specialty Hospital | Best Hospital in Indore,"Plot No. 8, PU04, Commercial Scheme 54, Rasoma Square, Vijaynagar, AB Road, Madhya Pradesh 452010",medanta.org,https://medanta.org,0731 474 7185,Hospital,Indore,9849.0,4.7,22.7489798,75.8958731,"https://www.google.com/maps/place/Medanta+Super+Specialty+Hospital+%7C+Best+Hospital+in+Indore/@22.7489798,75.8958731,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd5596143bb7:0xa0053666a6c0dd5f!8m2!3d22.7489798!4d75.8958731!16s%2Fg%2F11b6h_msv3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUs8vOLbvo0XnwEB_bjGGm8X2Um8Hhhr5pAYYUEaq4ziCoayGIS2L98vS9UmyNA58eK_5SI8dIT9hnLQwhB5OoUl8k_ZQnlKLr1Uo7TbkGfTMT2z_o-ZI7kH1WcNQunB961dMWeFUdJW_U=w1024-h768-k-no,
Sahaj Hospital - Endoscopic Super Speciality Center in Indore | Multispeciality Hospital In Indore,"15/2 South Tukoganj Near Manas Bhavan, behind hotel surya, Indore, Madhya Pradesh 452001",sahajhospital.com,https://sahajhospital.com,082230 82555,Hospital,Indore,638.0,4.6,22.7168636,75.8757124,"https://www.google.com/maps/place/Sahaj+Hospital+-+Endoscopic+Super+Speciality+Center+in+Indore+%7C+Multispeciality+Hospital+In+Indore/@22.7168636,75.8757124,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd17ab40d7eb:0x182dfbd4b468f8f1!8m2!3d22.7168636!4d75.8757124!16s%2Fg%2F11f015v3nr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfYVH3I_lTLwHOCa_mj8tw0gG5_ejeuaVlxl3XiU9ePazWLo76Eh-ysObJQi-VkVwirYUCoH1d6t4v94vAnEMpYbLDWF-6Clj-7V4Zw4jCeAqIuGJ34BDqR35TCmW9HdehzHP4=w1024-h768-k-no,
Bhandari Hospital and Research Centre,"21-23, opp. Meghdoot Garden, Opposite Sayaji, G F, Scheme No 54, Indore, Madhya Pradesh 452010",bhrcindia.com,https://bhrcindia.com,0731 473 3333,Hospital,Indore,5112.0,4.7,,,https://www.google.com/maps/place/Bhandari+Hospital+and+Research+Centre/data=!4m7!3m6!1s0x396302a8893efb37:0xdccf05a77b7ff3eb!8m2!3d22.7527509!4d75.8890385!16s%2Fg%2F1w0h5xxn!19sChIJN_s-iagCYzkR6_N_e6cFz9w?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2aDTT2ljHefwSbvSWWJLuqgfO1GATve32Ze8KJhvMnhvLTmX5SMROGYSQrs39QaCJMXVlCf0UkJYNwZ1hBV5EROhKdlbLE8uZorag4_PMTWr9LaBl7w_a721a-5a7S9xKZGw=w1024-h768-k-no,
CARE CHL Hospitals Indore | Best Hospital in Indore,"Agra Bombay Road, near L.I.G Square, Rss Nagar, Indore, Madhya Pradesh 452008",carehospitals.com,https://carehospitals.com,040 6810 6589,Hospital,Indore,9716.0,4.6,22.7322578,75.8893409,"https://www.google.com/maps/place/CARE+CHL+Hospitals+Indore+%7C+Best+Hospital+in+Indore/@22.7322578,75.8893409,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd4f4dca1777:0x62bc8f8b155a8bd8!8m2!3d22.7322578!4d75.8893409!16s%2Fg%2F1tfg1h0g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8dyjwr5Cmd8LTgNnvjTGcxbAlioJWL8Sy-4eTwdRiE6ygJI2it-VxWzEByAEwvv7wCKl8vBF8JGah1sPX-eP1_mSiP7dHWOeODlTjgUyDOV6YYaMGhdYH43nAaIGoIWnggP60qw=w1024-h768-k-no,
Medista Hospital - Best Multispeciality Hospital in Indore,"52/A, Khisnpuri Colony, Udhyog Nagar, Musakhedi, Indore, Madhya Pradesh 452001",medistahospital.com,https://medistahospital.com,080 4807 0141,Hospital,Indore,556.0,4.7,22.6904456,75.8976342,"https://www.google.com/maps/place/Medista+Hospital+-+Best+Multispeciality+Hospital+in+Indore/@22.6904456,75.8976342,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd93a86c20cb:0x893fb867482ad1d3!8m2!3d22.6904456!4d75.8976342!16s%2Fg%2F11q3ygwy03?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEK1qSZnQagTyP5Qm26tH8F6RiPY-w_Q7jJpArPTewtLwfg2Bqr-38w26KGpaf5AdZYXQIDtsBD2LHjxfU18prIU9gsRvC-oR9s1bebi3ZpU7WHCozNx-3ibWag-9yELr3-s4P9KvkuUIuk=w1024-h768-k-no,
Suyash Hospital,"5, 1, AB Rd, opposite MGM Medical College, South Tukoganj, Indore, Madhya Pradesh 452001",suyashhospital.com,https://suyashhospital.com,0731 249 3911,Hospital,Indore,872.0,4.4,22.7137987,75.8840006,"https://www.google.com/maps/place/Suyash+Hospital/@22.7137987,75.8840006,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd24c94dff33:0x1921cc5ec69a838!8m2!3d22.7137987!4d75.8840006!16s%2Fg%2F1thxjgjf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGFFgf20lua8q7mwD2G_4jXkCZ67P_2-Zo0WLkMwZtb5mWLWzDxMQoNHqlY000qHOtdzfVsg7346Q1us30VASC-v_Ocv8hdYGzRlzZhfgVs0CMCaLSTwbwrYPT5rd4AVFiOeDk=w1024-h768-k-no,
Apple Hospital,"15/1, Bhawarkua Main Rd, Transport Nagar, Indore, Madhya Pradesh 452014",applehospital.co.in,https://applehospital.co.in,0731 476 9999,Hospital,Indore,2961.0,4.4,22.6939541,75.8665271,"https://www.google.com/maps/place/Apple+Hospital/@22.6939541,75.8665271,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fce495ee903f:0xf0b46034bc2ce47c!8m2!3d22.6939541!4d75.8665271!16s%2Fg%2F11bccd3n9t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2pJxM4pTvmdtrV0ZEeZmwsYc8hXxQgHqmMQoJIv_1fCWkDRF8b0l-DNM8CAx2DbFb3dSDcupYMz-VK4YKsiWfNaZtEgt1nGVDtWavj5TkpqpI9QGqt5Az310x22wBipni7v-_4L4P-LE=w1024-h768-k-no,
Unique Super Specialty Hospital,"715-716, Vijay Syndicate, Annapurna Rd, Indore, Madhya Pradesh 452009",uniquehospitalindore.com,https://uniquehospitalindore.com,0731 279 9883,Hospital,Indore,3048.0,4.6,22.6953707,75.8386871,"https://www.google.com/maps/place/Unique+Super+Specialty+Hospital/@22.6953707,75.8386871,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fc4c567f5df7:0xb35b3d2fff7b49cd!8m2!3d22.6953707!4d75.8386871!16s%2Fg%2F1tdqryd5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDFtoU52zE685jChftCEgfr2maztrb3wlrCtbrs0hZtg33LscpX_uNiH4eYOkBSKtzaWj46Ra_5KChFoPF4BWUBMSVMt9kPeD5X90WdELTgnPixr4HhlQAwM_IyhDDdtHAsbwfcQ=w1024-h768-k-no,
