name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Effotel by Sayaji Indore,"Plot No. 10C/CA, Sector C, Scheme No 94 Sector EB, Indore, Madhya Pradesh 452010",sayajihotels.com,https://sayajihotels.com,0731 311 2111,Hotel,Indore,9200,4.3,22.7508444,75.9031289,"https://www.google.com/maps/place/Effotel+by+Sayaji+Indore/@22.7508444,75.9031289,17z/data=!3m1!4b1!4m9!3m8!1s0x3962e2c961000001:0xc8f46c6f1522f996!5m2!4m1!1i2!8m2!3d22.7508444!4d75.9031289!16s%2Fg%2F11v3r93zsq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQwF5l5O6NmKloSpWMYoqJWZgK1wSRUlLRKr3zIgruVYks9trrXT9VtSCoSBTpJD7A3C0BMxi6QILxmCflrR8mHwMKdTfPlBeI_5ZxnEDgITCP6VHlEHi-3e6BiPw4GV2XLRtR3w=w1024-h768-k-no,
Essentia Luxury Hotel Indore,"Essentia Luxury Hotel, near World Cup Square, Pipliyahana, Indore, Madhya Pradesh 452018",essentiahotels.in,https://essentiahotels.in,0731 672 5777,Hotel,Indore,3660,4.5,22.7101305,75.9039031,"https://www.google.com/maps/place/Essentia+Luxury+Hotel+Indore/@22.7101305,75.9039031,17z/data=!3m1!4b1!4m9!3m8!1s0x3962e3402b359321:0xffdc3966fe3eebc9!5m2!4m1!1i2!8m2!3d22.7101305!4d75.9039031!16s%2Fg%2F11smj7h9fv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFF3S5mEQGdc_0xbNGM9KekFkmk5AVXgYgh_uwirh-TNBOpbil97JUcztXMVkLALwTbqzdVdN5_A5x6z5hz9UHh7r5-xP503lb7tNGk22ZGsoHSUOZsk6OmGKJpBUau7LrkEMOt=w1024-h768-k-no,
Radisson Blu Hotel Indore,"No 94 C, 12, Scheme, Ring Rd, Scheme 94 Sector CA, Indore, Madhya Pradesh 452010",radissonhotels.com,https://radissonhotels.com,0731 673 8888,Hotel,Indore,23616,4.5,22.7500894,75.9027734,"https://www.google.com/maps/place/Radisson+Blu+Hotel+Indore/@22.7500894,75.9027734,17z/data=!3m1!4b1!4m9!3m8!1s0x3962e2aa63f86ecf:0x5ec994f6b12cb4bc!5m2!4m1!1i2!8m2!3d22.7500894!4d75.9027734!16s%2Fg%2F1td7rlnq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYv_rJ5Pi2KlkssybM2AcWy3tUjXfHxP_GX4yeN2aPnCVtdf9Hp_CsCvZyZ93hI8Yzy65jPNuZNAfnNGHT1_rmcJuTuNHjA-_G2O_FEjBXOre6HcrCugJXjeouKfWzZj52k6vv=w1024-h768-k-no,
Sayaji Hotel Indore,"H/1, Maguda Nagar, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",sayajihotels.com,https://sayajihotels.com,0731 400 6666,Hotel,Indore,26704,4.4,22.751231,75.8895421,"https://www.google.com/maps/place/Sayaji+Hotel+Indore/@22.751231,75.8895421,17z/data=!3m1!4b1!4m9!3m8!1s0x396302a814ca51dd:0xf684b03b6f0e52eb!5m2!4m1!1i2!8m2!3d22.751231!4d75.8895421!16s%2Fg%2F1td5_3rm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpL28jT8ylRt-dTLWSM-3Ep-iYgsz8cB3mU5GysxyOUchrvu6LdWIfHngJhRG8235KC36gcZBd1bcC-Lc4DVgR2ZQHS-dmo_oOnL4Be7PqqEi0mQex6_5VjNdqf1XtkTI1jtP2MGEBvsrT=w1024-h768-k-no,
Indore Marriott Hotel,"H-2 Scheme No 54, Meghdoot Garden, Vijay Nagar, Indore, Madhya Pradesh 452010",marriott.com,https://marriott.com,0731 477 7777,Hotel,Indore,12827,4.4,22.7527421,75.883716,"https://www.google.com/maps/place/Indore+Marriott+Hotel/@22.7527421,75.883716,17z/data=!3m1!4b1!4m9!3m8!1s0x396302a6c929d7c1:0xa9b781c61eb0010f!5m2!4m1!1i2!8m2!3d22.7527421!4d75.883716!16s%2Fg%2F11d_b9_16g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrK0tcLP_jsVjmVuuJyRGf2CqbcN1fbN529UBOZp7ytZikvY7WsV287e92cec6c7CcS5sBSVCztsDg8fsxAy-IujY4lGyG518vfJHw8PIZXhJH00F7_IKKGLHJsdeAH_KwNIx089gB176F=w1024-h768-k-no,
Cosmopolitan Hotel Indore,"Gate No-1, Railway Station Rd, beside GRP Police Station, opposite Yashwant Plaza, Downtown, Indore, Madhya Pradesh 452001",cosmopolitanhotels.in,https://cosmopolitanhotels.in,078984 09682,Hotel,Indore,1950,3.9,,,https://www.google.com/maps/place/Cosmopolitan+Hotel+Indore/data=!4m10!3m9!1s0x3962fd116ee4efe7:0x71447c5658a2e2e2!5m2!4m1!1i2!8m2!3d22.7177658!4d75.8688646!16s%2Fg%2F11f4wtxptf!19sChIJ5-_kbhH9YjkR4uKiWFZ8RHE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoy8oqO-dcv_p5WOj6SWefAQ7f27usaC6F6BOu6zgrj0TfRtGKgecyLy3aLkIUBhw3wrtqbaYS37pnnDkuxY0IuTmtv3zeRlIbnv-vdRB5x-uMfkwodRlX9lU1ay2Wu91BX6AUYA=w1024-h768-k-no,
Hotel New Sunder,"17/2, S Tukoganj Rd, near idgah caompound, Dhar Kothi Colony, Indore, Madhya Pradesh 452001",,,098260 08428,Hotel,Indore,1394,3.6,22.7151352,75.8728136,"https://www.google.com/maps/place/Hotel+New+Sunder/@22.7151352,75.8728136,17z/data=!3m1!4b1!4m9!3m8!1s0x3962fd14a626960f:0x4b8926426c986e87!5m2!4m1!1i2!8m2!3d22.7151352!4d75.8728136!16s%2Fg%2F1tdk_zjj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE372jFsV4A2y5vCG2NQfPEw-m3kIWeF7Mlux4vxBHLy3dkdQgIkF8dcHtLMMf9Fq3LFH1zfSPWGIjJlVZPeWXov7h2MkAQqUN68nKGN-51ts9jwZkC8WkeJ1IkX1Tmeb2IbTF5AEA-28cj=w1024-h768-k-no,
Pride Hotel & Convention Centre Indore,"35, PW5H+6VQ, 1, Bicholi Mardana, near pride hotel, Indore, Madhya Pradesh 452016",pridehotel.com,https://pridehotel.com,0731 675 5555,Hotel,Indore,3982,4.1,,,https://www.google.com/maps/place/Pride+Hotel+%26+Convention+Centre+Indore/data=!4m10!3m9!1s0x3962e2df425041bd:0x19d0db0c7b89d53d!5m2!4m1!1i2!8m2!3d22.7081232!4d75.9305267!16s%2Fg%2F11f38qq9n4!19sChIJvUFQQt_iYjkRPdWJewzb0Bk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIEoUz7-Cr5WQbLpp1ws9gShG4J9hSmeNP-TnMvy7V-1GFK2QtI1R7YpoVmOLYDwLST8lVzUglcCexwE1SnwAhyDeJkgChuhUxEqO54bf130CDxrKYXgiCWLzQl5YwWLNYZZ4R=w1024-h768-k-no,
Kiwi Inn Hotel,"3, Bhawarkua Main Rd, near Anand Hospital, Sindhu Nagar, Sindhi Colony, Indore, Madhya Pradesh 452014",kiwiinnhotel.com,https://kiwiinnhotel.com,092440 34070,Hotel,Indore,5742,4.8,,,https://www.google.com/maps/place/Kiwi+Inn+Hotel/data=!4m10!3m9!1s0x3962fda2922dc82b:0x30bbaebb99607ce9!5m2!4m1!1i2!8m2!3d22.7028539!4d75.8616999!16s%2Fg%2F11sv1d2nz4!19sChIJK8gtkqL9YjkR6XxgmbuuuzA?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFePAuNsRUpFJYwnBOUja4fEo0N7smlqTKB5K26zygAcFKGZj6A1-msijk2d8kf1BHeC-I06fi62OOiYN2_1mm-thrLhDJHQt0QnpnYzYDPZJpWic0RSijQZfPInORmJzSDtRP5=w1024-h768-k-no,
Ginger Indore,"BKR Star Mall, AB Rd, Press Complex, Indore, Madhya Pradesh 452008",gingerhotels.com,https://gingerhotels.com,0731 666 3333,Hotel,Indore,4757,4.0,22.7360148,75.8915819,"https://www.google.com/maps/place/Ginger+Indore/@22.7360148,75.8915819,17z/data=!3m1!4b1!4m9!3m8!1s0x3962fd6d5c629411:0x20d79f9a64f768b9!5m2!4m1!1i2!8m2!3d22.7360148!4d75.8915819!16s%2Fg%2F1vtqthgt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEADxGpSh1FltSkKqn8OHVEA5zkDeb8d8mTfvO2i3N916_iGhsjg8CcXGrn-WjIUSlQTUZtnkmgMC1TP9UMmmOpl1cXtQGSD0Xa8Omgbreisclw10WKCH0U1HNZEovW37X5uD9nwChgkpe6=w1024-h768-k-no,
