name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Parchhai Art & Architecture Studio | Interior Design near me | Indore,"Sterling Arcade, 314, Race Course Rd, Near Janjeerwala Square, Race Course Road, Indore, Madhya Pradesh 452003",theparchhai.com,https://theparchhai.com,088198 66889,Interior Designer,Indore,131,4.9,22.7261202,75.8788859,"https://www.google.com/maps/place/Parchhai+Art+%26+Architecture+Studio+%7C+Interior+Design+near+me+%7C+Indore/@22.7261202,75.8788859,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd1e9ee5f773:0xa24a1536b52b08cd!8m2!3d22.7261202!4d75.8788859!16s%2Fg%2F11flx4k6gv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSvM4lfoZkLSBuJYnDoOqlca-Ql_jnHCzf5XSNMMXg8Sq_GmXeNPYves8uRmX1YvWdXatn2oT1uy7juCbPse1vv4la7dpuJ_O12gInuTe0cSTzppugiM7LXsiPgZS8azd2mJT8rNj-IiY3=w1024-h768-k-no,
The Indore Interio and Decorators | Best Interior Designer in Indore,"Gravity Mall, M-3/27, Mechanic Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",theindoreinterio.com,https://theindoreinterio.com,090390 18444,Interior Designer,Indore,164,4.8,22.7480525,75.8906859,"https://www.google.com/maps/place/The+Indore+Interio+and+Decorators+%7C+Best+Interior+Designer+in+Indore/@22.7480525,75.8906859,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdf6ad8e64f3:0xf8cfdb94cc29f8b4!8m2!3d22.7480525!4d75.8906859!16s%2Fg%2F11h04l5w3_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0hRMmMtIYlzouQHp2WqkqpDd6W0Royfo-Gh5LErw5ANP79vBUDTJ0ugd8FNXs94ATVZrqqMrX4WRVCLRh4IeUzZwR_sFFVSaOxJ3eSyuwAKP0zj6d69ITI4k4fuyp3YTCM2md2YCROaQ=w1024-h768-k-no,
Indore Interiors - Best interior designer in indore | Affordable Interior Solutions in Indore | Modular kitchen interior,"340, Goyal Ave Main Rd, Goyal Avenue, Nipania, Indore, Madhya Pradesh 452010",indoreinteriors.com,https://indoreinteriors.com,099931 72217,Interior Designer,Indore,19,4.9,22.7673453,75.9269016,"https://www.google.com/maps/place/Indore+Interiors+-+Best+interior+designer+in+indore+%7C+Affordable+Interior+Solutions+in+Indore+%7C+Modular+kitchen+interior/@22.7673453,75.9269016,17z/data=!3m1!4b1!4m6!3m5!1s0x39631dab63b6cbbd:0x5dca3f9424abf47a!8m2!3d22.7673453!4d75.9269016!16s%2Fg%2F11npd9lybr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnehlN0RgW_d5HzvvtHnPMYCgbjmX8uqxnWNKUuMRUTYUo7CbW0N8aPfYMiJqgv-D5qbWwJK764LZ52aR8cHq_vWsOW3L6jMy1ZeHq-p0wajTcytLZa09XO71krey9UIThgqvVw-QnWe2L=w1024-h768-k-no,
The Devisal Interiors,"near Bhawans School, Balaji Skyz, Nipania, Indore, Madhya Pradesh 452010",,,095225 51543,Interior Designer,Indore,133,4.9,22.7663665,75.9206445,"https://www.google.com/maps/place/The+Devisal+Interiors/@22.7663665,75.9206445,17z/data=!3m1!4b1!4m6!3m5!1s0x39631d43414ca08f:0x4deef153af3b027d!8m2!3d22.7663665!4d75.9206445!16s%2Fg%2F11qg2z04lz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHygViuhPbp4Nm6xRUwoFHTxvq4FWaS-mwcFTmiF-FqGJ4K4mP9dRoUhOKkZ0yENP2EgLkRkkYTnNO9jXpef0N3ty6xFiAVJ2TvLZlN_dXs3jqxNP-0x5rB8hQ78gdfhmbfOyBpaQ=w1024-h768-k-no,
Dream House Makerz- Best Architect in Indore | Interior Designer in Indore,"5th Floor, Fortune Aura, 505-506, Bhanwar Kuwa, Indore, Madhya Pradesh 452014",dreamhousemakerz.com,https://dreamhousemakerz.com,0731 668 0333,Interior Designer,Indore,105,4.7,22.6950815,75.8660544,"https://www.google.com/maps/place/Dream+House+Makerz-+Best+Architect+in+Indore+%7C+Interior+Designer+in+Indore/@22.6950815,75.8660544,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd6b06da5dc3:0xd628dd5836675c95!8m2!3d22.6950815!4d75.8660544!16s%2Fg%2F11qqmjb1v3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE51JeM4GycTVlaFpk0Aj1Ao47pPIwANQmC_oeIRD4BEQDnb_RBfULGxQAYDPtl1qwJwYbpzvwsXJSWZSxMLYmIHeG5kayBS4cAr3_qBAUoPWFJycKQtgXSrCWNB-SnlzLpGc8t=w1024-h768-k-no,
Shinis Interior | Interior Designer Indore,"154, Mangal city, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",shinisinterior.com,https://shinisinterior.com,097139 89451,Interior Designer,Indore,97,4.7,,,https://www.google.com/maps/place/Shinis+Interior+%7C+Interior+Designer+Indore/data=!4m7!3m6!1s0x39630290e555553f:0x45735b238fd646b1!8m2!3d22.7527395!4d75.8964941!16s%2Fg%2F11gdw287md!19sChIJP1VV5ZACYzkRsUbWjyNbc0U?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6ZzqU7fVnI_2gZVPQhtXjkHS4BLeZfh4PiIZ6-s9PfZMKT9hiquzaMETbMOXFvkQgnbZZrdBY8RKaV0reufHN6XB1xslJZ_OzOsT8Wu6gYA07g-pK5V66dbCX3sZt9445UDG3RbvblV_h=w1024-h768-k-no,
THE SPACE DESIGNERS | Best Interior Designer in Indore,"LG-12, Bansi Trade Centre, 581/5, Mahatma Gandhi Rd, Race Course Road, Indore, Madhya Pradesh 452001",thespacedesigner.com,https://thespacedesigner.com,062645 49625,Interior Designer,Indore,49,4.8,22.723715,75.8818338,"https://www.google.com/maps/place/THE+SPACE+DESIGNERS+%7C+Best+Interior+Designer+in+Indore/@22.723715,75.8818338,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd0a12b06691:0x85d8a8faa613e3de!8m2!3d22.723715!4d75.8818338!16s%2Fg%2F11v67495xq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHL3uA0meKpWYg_EfPJr-h36bl9cCEmM07_KVJN3Tth-mwQAVzymzXUgwc4_3K-NmF1yLb_-Kbfvc38amp6QjDnF1-MeHDdHCUAniCW_WRUL7ZDtaJYNGUXtdlOkkz24THUxTEFtA=w1024-h768-k-no,
Asmat Interior Studio | Best Interior Designer in Indore,"Plot no 1180, opposite The Rajbaag, Hare Krishna Vihar, Nipania, Indore, Madhya Pradesh 452010",theasmatgroup.com,https://theasmatgroup.com,088785 71400,Interior Designer,Indore,96,4.7,22.750054,75.931107,"https://www.google.com/maps/place/Asmat+Interior+Studio+%7C+Best+Interior+Designer+in+Indore/@22.750054,75.931107,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd269d47475d:0x7b6f385e7ab893ac!8m2!3d22.750054!4d75.931107!16s%2Fg%2F11fq74rg0y?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHLR2qPeCvfFadaSqQO6p8v-Mq1pQYaA9B8yes1ypfYpRTr74LROpz9ixH3QjwLgld7a2kOJeaq4AknwQMd1P8bLgpY_AaOfxr_8MDEqDYinqk_jJocgi67t_n_-p7pE3XMguT=w1024-h768-k-no,
Sanveera Interiors - Best Interior Designer In Indore,"282, MR-6, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010",sanveerainteriors.com,https://sanveerainteriors.com,074898 08889,Interior Designer,Indore,150,4.9,22.763523,75.9123657,"https://www.google.com/maps/place/Sanveera+Interiors+-+Best+Interior+Designer+In+Indore/@22.763523,75.9123657,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e313a38f9c4f:0x4929509e59e8179c!8m2!3d22.763523!4d75.9123657!16s%2Fg%2F11q9pxw4b1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHWkpMdJPF6RkNnfqvsicHk_kDffja8H8Jn8FgATNx2YfbCcb7navGpj4_8N7lz5VM7wqBLB-seycGhvZMQ8o_i5Vu_27ATCe-05IN60wCeEXpSKJdEw7tp7z_AoHGdaEdssR7EDt_43EV=w1024-h768-k-no,
Team Interior,"144, Regional Park Rd, near choithram circle, Pipliya Rao, Indore, Madhya Pradesh 452012",team4interior.com,https://team4interior.com,095229 53786,Interior Designer,Indore,824,5.0,22.6801533,75.8554298,"https://www.google.com/maps/place/Team+Interior/@22.6801533,75.8554298,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd98970b5805:0xb5fdb1681fe6ac3f!8m2!3d22.6801533!4d75.8554298!16s%2Fg%2F11h23mx7w0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvQnZ73ig93T4XTwQeYRYO1X0aneZymZcGH_0WkUpukMaZjEOLo4A3bI-2Ydi-Bec5O5K27EhzQf_mRnbtU2FNjudhbDOwkcZ6ygKLHGyYPHyrKDVV9NbPxEe_iiZLQYu5vvU=w1024-h768-k-no,
