name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Advocate J.S. Rohilla | Civil & Criminal Lawyer in Indore,"High Court Campus, Mahatma Gandhi Rd, South Tukoganj, Indore, Madhya Pradesh 452001",jsrohilla.in,https://jsrohilla.in,088271 22304,Lawyer,Indore,48.0,4.9,22.7189463,75.8744485,"https://www.google.com/maps/place/Advocate+J.S.+Rohilla+%7C+Civil+%26+Criminal+Lawyer+in+Indore/@22.7189463,75.8744485,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd4c9a4af649:0x16a1ebefc1fd335d!8m2!3d22.7189463!4d75.8744485!16s%2Fg%2F11tgdlmfl_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvynKiqbl88Jc0l5peCjMbNPvKV6juoM_b6KDwR2nlLHGUMRKv0X-_cVyRsXnRBtpNeybR6c9xO297Gs6gUxs3yDMksCf2q5Tu-RKTp4D4tny6veQmkEeyvlTsGAOTleQ7SyCGQw=w1024-h768-k-no,
Advocate Subhash Chandra Lawyers and Associates,"Ansal Town, Talawali Chanda, Indore, Madhya Pradesh 453771",facebook.com,https://facebook.com,070673 72592,Lawyer,Indore,287.0,4.9,,,https://www.google.com/maps/place/Advocate+Subhash+Chandra+Lawyers+and+Associates/data=!4m7!3m6!1s0x39631dc0ca655af5:0x71217778a0e3fffe!8m2!3d22.7929212!4d75.917827!16s%2Fg%2F11gpnhfk86!19sChIJ9VplysAdYzkR_v_joHh3IXE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEN55i6lb53jQEw1g3plvVjQgRmMtupdwQ0CeeAVzrjruuccnqGEbHKd6EapE60CQBwjYBowYKmdS4bR8tf7OML1XPuN5tPUwmwVdL1gDxOSBllBzxl6XECmmVfMeQNA6yRiPtybX0Nha4J=w1024-h768-k-no,
Baghel Associate - Best Lawyer | Advocate | Divorce Lawyer | Criminal Lawyer | Indore,"31, nr. 3 No school water tank, Pagnis Paga, Indore, Madhya Pradesh 452007",baghelassociate.in,https://baghelassociate.in,094250 34006,Lawyer,Indore,38.0,4.6,22.709536,75.8584377,"https://www.google.com/maps/place/Baghel+Associate+-+Best+Lawyer+%7C+Advocate+%7C+Divorce+Lawyer+%7C+Criminal+Lawyer+%7C+Indore/@22.709536,75.8584377,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd06655271cf:0xfe1a86aabbd3d9c7!8m2!3d22.709536!4d75.8584377!16s%2Fg%2F11gf0xkkh3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a_4RKwIhcVKknDgh1-KmUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.90945&pitch=0&thumbfov=100,
Advocate,"Suryadev nagar, 125-B, Annapurna Rd, near gopur square, Bank Colony, Indore, Madhya Pradesh 452009",,,079999 92371,Lawyer,Indore,1384.0,5.0,22.69213,75.838092,"https://www.google.com/maps/place/Advocate/@22.69213,75.838092,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdc8e703d60b:0x483efd9bd699662f!8m2!3d22.69213!4d75.838092!16s%2Fg%2F11f632mrhj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGn0LInFePHIWjVw7Ll4_-fA841_VYDiUN6RmO3MFCL4sRIvDc5aJY07AanycXSiSMWOmKV8fBRnalfwBvAKqVolb_TfTKLJ0bvpaKEsW4hTjNBqSBTXbHQHe9ckF9OFx4FJ9q_=w1024-h768-k-no,
Advocate Bhavdeep Singh - Advocate in Indore - Criminal Lawyer - High Court Case Lawyer - Divorce Lawyer,"4th Floor, Westend Corporate, 402, behind Mangilal, Doodhwale, New Palasia, Indore, Madhya Pradesh 452001",indialegalclinic.com,https://indialegalclinic.com,088711 10101,Lawyer,Indore,78.0,4.7,,,https://www.google.com/maps/place/Advocate+Bhavdeep+Singh+-+Advocate+in+Indore+-+Criminal+Lawyer+-+High+Court+Case+Lawyer+-+Divorce+Lawyer/data=!4m7!3m6!1s0x3962fd5111efffff:0x16157360673c672c!8m2!3d22.7285132!4d75.8853238!16s%2Fg%2F11g7_h79l1!19sChIJ___vEVH9YjkRLGc8Z2BzFRY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgRw0jx5So_I8Ws2Bf-Ft7zLFGB10n9QyHHIFxgymYKcYHuILQP-11t9yrCN2xWgoSo-hjBR2QElo7lJ_ELgsj55Zaf5W-ouJqQ6xnarX7ylENMKCKHPabiJRslE2HErkm2pQ=w1024-h768-k-no,
Advocate Juned Ahmed Khan & associates- Best Lawyer in Indore | Best Criminal Lawyer In Indore,"216, 2nd Floor, Milinda Manor, opp. Central Mall, South Tukoganj, Indore, Madhya Pradesh 452001",,,073896 27886,Lawyer,Indore,61.0,5.0,,,https://www.google.com/maps/place/Advocate+Juned+Ahmed+Khan+%26+associates-+Best+Lawyer+in+Indore+%7C+Best+Criminal+Lawyer+In+Indore/data=!4m7!3m6!1s0x3962fd79d64fa0f5:0x2520c8897287660c!8m2!3d22.7184665!4d75.8724129!16s%2Fg%2F11twq1gfls!19sChIJ9aBP1nn9YjkRDGaHconIICU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNpd6x98awTeqwYrRdyef9LojxUB-2ugO6Q1ePo617yCn14udaziwr8yLzObMTpTegJDVCzsrFhibMsFAXisD10xXe326p1nVgpB9uOS_Dk9sdF-XJlkXUOkuGpFv8kdQnoy8=w1024-h768-k-no,
Advocate Jitendra Purohit best lawyer in indore,"145, A Sector, Veena Nagar, Indore, Madhya Pradesh 452010",facebook.com,https://facebook.com,097521 16688,Lawyer,Indore,87.0,4.9,,,https://www.google.com/maps/place/Advocate+Jitendra+Purohit+best+lawyer+in+indore/data=!4m7!3m6!1s0x3963039e92c7dfd3:0xdd67c9be1e10fb43!8m2!3d22.760737!4d75.8677168!16s%2Fg%2F11nntdym71!19sChIJ09_Hkp4DYzkRQ_sQHr7JZ90?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGd5vGPVfaTaacseSrbYx8Nq4gx3ktE1vnc3eDwIsXegQlFfGYYbvUOVF42acn3_ImPTZj5R98NPxjGgU_sbt_iPDsDsQMAu1kzix-TfqQKc-30fnyLaq78HqCO-yswYJYO2Q4=w1024-h768-k-no,
Siddharth & Co advocates in Indore,"The One, 108, B- Block, RNT Marg, Indore, Madhya Pradesh 452001",sclawyers.in,https://sclawyers.in,080807 72763,Lawyer,Indore,173.0,4.9,22.7174082,75.8732116,"https://www.google.com/maps/place/Siddharth+%26+Co+advocates+in+Indore/@22.7174082,75.8732116,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e308dc562df9:0x66b17548db6e293c!8m2!3d22.7174082!4d75.8732116!16s%2Fg%2F11qppry7jy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHwg6G20O8WzDb_2cBcy5yb9gsnn4xJ4f5zml50evEKVuor2aCRCKhGbHpThJQMW911CAU8PHmkgBkuvDuhPVq4l5lS4NuI0OD79mWRxeJLYk4n8bdIaOoQHO1Y8lS1X7AoN0=w1024-h768-k-no,
Advocate Nilesh Kaushik & Associates,"power house, SF 158, 155, Vaishno Vihar Colony, Scheme No 51, Indore, Madhya Pradesh 452006",awasthiassociates.in,https://awasthiassociates.in,062652 29522,Lawyer,Indore,316.0,4.9,,,https://www.google.com/maps/place/Advocate+Nilesh+Kaushik+%26+Associates/data=!4m7!3m6!1s0x3962fdc51f296139:0xef75645f8802b25c!8m2!3d22.7423827!4d75.833014!16s%2Fg%2F11vj29nl88!19sChIJOWEpH8X9YjkRXLICiF9kde8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8YMXuzSLzFWmt29zB0HTJAKOmE_3MQYGcnPl1l6xBgNLKOlaNQMeJehfSSlzq_8AaHgeMzibMgWKC4PLEKE9S2ILZKDejPEyxQn5lcFa2HhDw__fjWw0ejFFCSLo5nccypqOkUmuvD3Y=w1024-h768-k-no,
Advocate Mukund Choudhary,"Rajani Bhawan, High Court, Advocate chamber, 703-B, Mahatma Gandhi Rd, Opposite High Court, Indore, Madhya Pradesh 452003",choudharyadvocates.com,https://choudharyadvocates.com,099076 12333,Lawyer,Indore,202.0,4.8,,,https://www.google.com/maps/place/Advocate+Mukund+Choudhary/data=!4m7!3m6!1s0x3962fd2936545371:0xdc7cc1fa85d617b5!8m2!3d22.7206769!4d75.8737833!16s%2Fg%2F11rn78w8s5!19sChIJcVNUNin9YjkRtRfWhfrBfNw?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGf1_lfoL7sD0YZmvu9lWeVOzmngQuQSlXvKaiogmzUapyd3u3kLwNcLGmyc7HAAGtV8FUOw6vc5KCu9ZPd9w9mmaIxy5lByzlpWRm8DVaRS0icB2_5XQ4Jjz76JMBDVmFkPSruOQ=w1024-h768-k-no,
Raghuvanshi Vaidya & Partners (Advocates & Legal Consultants),"315, City Centre, Mahatma Gandhi Rd, opposite MP High Court, Opposite High Court, South Tukoganj, Indore, Madhya Pradesh 452003",rvpadvocates.com,https://rvpadvocates.com,094065 49595,Lawyer,Indore,273.0,4.8,22.7212315,75.8741951,"https://www.google.com/maps/place/Raghuvanshi+Vaidya+%26+Partners+(Advocates+%26+Legal+Consultants)/@22.7212315,75.8741951,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd15b1ba657b:0xcdc2e7e6f4befa08!8m2!3d22.7212315!4d75.8741951!16s%2Fg%2F1q644x405?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnw64e4gbRt8BXmQJqCxWo7kGhJ2VvPjwXSzPkIiRVUhoxIU8eH-ETBUwOAA-4ub1aJn4pndI6Sw1bS7jCR4-P4Id0i1jJeFrZWi6MQcyE-84AP-Advocate Mukund Choudhary,"Rajani BhawanBiniwalle Associates,"Office No 142, 1st Floor, Rampurawala Building, Mahatma Gandhi Rd, opposite District Court, Siyaganj, Indore, Madhya Pradesh 452001",advocatebiniwalleindore.com,https://advocatebiniwalleindore.com,093032 18011,Lawyer,Indore,163.0,4.9,22.7196104,75.8648453,"https://www.google.com/maps/place/Biniwalle+Associates/@22.7196104,75.8648453,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd0df508c233:0x4e13fd051ad09ae4!8m2!3d22.7196104!4d75.8648453!16s%2Fg%2F11b_3h6ph2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkKmVl5U2lcnlzbkFjN2PTRCKK1kzR1fZFuqTw9DjkuLspKiKusQctEHSIZCMJfmxAwDAeUiRbVwksMn1OR2A0OHzBefNDelO1i00K8mks5J8G6Gbu0inRn-qfrix2kFq103xGMA=w1024-h768-k-no,
Advocate Sapna Choudhary - Best Lawyer In Indore,"2, Milinda Manor, 224, RNT Marg, South Tukoganj, Indore, Madhya Pradesh 452010",,,095750 44441,Lawyer,Indore,70.0,4.8,,,https://www.google.com/maps/place/Advocate+Sapna+Choudhary+-+Best+Lawyer+In+Indore/data=!4m7!3m6!1s0x3963036ff680888f:0x7c0bc60f173089fd!8m2!3d22.7185262!4d75.8723511!16s%2Fg%2F11fm1wfwfv!19sChIJj4iA9m8DYzkR_YkwFw_GC3w?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2CHZfAfNxjCDoQ_78V9ufp3IRAL5xD3RxYENIog5hWqrkK1erGLB9KoRYzVyJ-ifbmc9LhucndCsjyF4bYaxIKecCzOP07BLbf7LSR5rBQPdJzm7chWUfnXQTjJazTkpKqWwRLg=w1024-h768-k-no,
