name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
"Wellness Forever Pharmacy - Ranjeet Hanuman Mandir , Indore","Plot No. 259, Road, near by Bandhan Bank, Maruti App.Opp.Ranjeet Hanuman Mandir, Usha Nagar, Indore, Madhya Pradesh 452009",wellnessforever.com,https://wellnessforever.com,091091 01584,Pharmacy,Indore,96.0,5.0,,,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Ranjeet+Hanuman+Mandir+,+Indore/data=!4m7!3m6!1s0x3962fd7f4fd8a903:0x8c81a5bc1138165!8m2!3d22.699361!4d75.835472!16s%2Fg%2F11yqqk6gst!19sChIJA6nYT3_9YjkRZYETwVsayAg?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4n86WhaZPo-ZxorFywi85VLjW6KYRISyYWJydQTUb5KsKPjhGYXSclqMopnNU-azS4_xl1ccTZ65PaDEmPN9XFWnbz1dl-lBkoldBPrEdm7YaORbrdljHh0iAqwXSft9MdXT_8WOc28ku=w1024-h768-k-no,
"Wellness Forever Pharmacy - Tower Square, Sapna Sangeeta Road, Indore","Sapphire Square, Tower Chauraha, Front of Kotak, Mahindra Bank, Sindhi Colony, 2, Sapna Sangeeta Rd, Tower Square, Scheme no. 31, Indore, Madhya Pradesh 452001",wellnessforever.com,https://wellnessforever.com,077188 71847,Pharmacy,Indore,163.0,4.8,,,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Tower+Square,+Sapna+Sangeeta+Road,+Indore/data=!4m7!3m6!1s0x3962fd87fb6923bd:0x5ca50922a14adf47!8m2!3d22.6983046!4d75.864781!16s%2Fg%2F11ltxx2mgs!19sChIJvSNp-4f9YjkRR99KoSIJpVw?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG61e4S1AJCVuy25EIdCvQgtS28_66O7k8CM5joc2iQklx4Ra93ti3HT3awhH2MU09sE9j5eFqoZGxAF0ro7P5ZlPOKgnI5LoeKoE8CQixsjUJsLkmTwRBVTJjxxTl6k9DN9jQNkjuz6mTD=w1024-h768-k-no,
"Wellness Forever Pharmacy - Yashwant Niwas Road, Indore","Shop No. 2, Yeshwant Niwas Rd, near ICICI Bank, Maan Sarovar, Indore, Madhya Pradesh 452003",wellnessforever.com,https://wellnessforever.com,086575 24068,Pharmacy,Indore,188.0,4.9,22.729215,75.874345,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Yashwant+Niwas+Road,+Indore/@22.729215,75.874345,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdd4164c999b:0x5f0b774982f15254!8m2!3d22.729215!4d75.874345!16s%2Fg%2F11wtr_ty_9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEWi0jbuSxXYIl5aUWfsox7-2-NUDlWG5TgXuhcuJWJQ8WGrFToOlE1Qcw3rUfx8aFFYsCoM8uMTluYkvSl8lPesB2-xtWqwJaPqP9uIcaPnj_RrDqy3ti1wJraLGDxx1m-I2goM4XpALY=w1024-h768-k-no,
"Wellness Forever Pharmacy - Opposite Atal Dwar, Nehru Nagar, Indore","Shop No. 1, near MIG Police Station, opposite Atal Dwar, Near MIG Thana, Sector H, Nehru Nagar, Indore, Madhya Pradesh 452011",wellnessforever.com,https://wellnessforever.com,086553 54486,Pharmacy,Indore,56.0,4.9,,,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Opposite+Atal+Dwar,+Nehru+Nagar,+Indore/data=!4m7!3m6!1s0x3962fd58f3a6c7f3:0x970b963732165486!8m2!3d22.737422!4d75.8847123!16s%2Fg%2F11yfdf76tk!19sChIJ88em81j9YjkRhlQWMjeWC5c?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJzGD63jtWLudVdOmp6SrPK83MZ5PjW2UoSVLrrlytZ97GG9zXss414twnKCjaeS-k5nQPlETZsjKXChomU7fpaCY9Nsw9d6xPkKLhO9bH5dHOtMOwlQ3WzPOBC5ZhSvWYzaFzvx_67MDA=w1024-h768-k-no,
"Wellness Forever Pharmacy - AB Road, Indore","Ground Floor, Shop No.1, near Utsaah Square, Scheme Number 78, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",wellnessforever.com,https://wellnessforever.com,089768 89566,Pharmacy,Indore,58.0,4.3,22.7621419,75.8865172,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+AB+Road,+Indore/@22.7621419,75.8865172,17z/data=!3m1!4b1!4m6!3m5!1s0x3963037bde7b709f:0xce82f31a888c77a!8m2!3d22.7621419!4d75.8865172!16s%2Fg%2F11v61s_mb6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNbEul5yxB6cH_iks3v-MugIav3TR9S3pnu25AoN4E4cS7mL5smUOg7WJ54bCPM01QZv52dk4jTjulVFD4TBZqQLwsIhx7bPWlbK_eQdyZS8qOnB4MEsUJLG9dr53WsuA2sFY8=w1024-h768-k-no,
"Wellness Forever Pharmacy - Palsikar Colony, Indore","Shop No. 1, opposite Bharat Petrol Pump, Bairathi Colony, Palsikar Colony, Indore, Madhya Pradesh 452007",wellnessforever.com,https://wellnessforever.com,086554 53408,Pharmacy,Indore,70.0,4.9,,,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Palsikar+Colony,+Indore/data=!4m7!3m6!1s0x3962fd73da23dc0d:0xf75dbdbe00285858!8m2!3d22.707723!4d75.856751!16s%2Fg%2F11xgypzmn4!19sChIJDdwj2nP9YjkRWFgoAL69Xfc?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW2pyAViuYenKQT9jdfrvJn4XbhENiJAdfXl4NyPXaH5-DUTxmeJ0Zr6GYTvoJOdUB-9hFTjgCcqkvWuw0NwwEbLf5dUAJfhmP9yl-tknfS6KfTrrdsD9EPXSxVBiU6XYF0OCFuLO4zRA=w1024-h768-k-no,
"Wellness Forever Pharmacy - Narmada Nagar, Indore","Narmada Nagar, 4/1, Annapurna Rd, opp. Croma & Zudio Store, Silver Oaks Colony, Chanakyapuri, Indore, Madhya Pradesh 452009",wellnessforever.com,https://wellnessforever.com,099934 67527,Pharmacy,Indore,56.0,4.2,22.6828714,75.8357038,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Narmada+Nagar,+Indore/@22.6828714,75.8357038,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd23b5e56315:0xeaeb2dd09b618a2b!8m2!3d22.6828714!4d75.8357038!16s%2Fg%2F11y42l_j8v?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-P8ttWWLxyKfYAxyW43Kyh0t536Bw1yidcCxq3u-LM3Fm_jEE68dScBroB3vqH4v6AZ4e6PlKoFAgiaTXWbkkNmLdL6I9s0A9I7Wt8qa3nmCVCgDXy_aeYdc2N93b7N9nerjR=w1024-h768-k-no,
MedXpert Pharmacy - Online Medicine Delivery Indore,"Shop No.2, 14/14, near Namah Hospital, Vijay Nagar, Indore, Madhya Pradesh 452010",medxpertpharmacy.com,https://medxpertpharmacy.com,078229 35371,Pharmacy,Indore,119.0,4.9,22.7532654,75.8920725,"https://www.google.com/maps/place/MedXpert+Pharmacy+-+Online+Medicine+Delivery+Indore/@22.7532654,75.8920725,17z/data=!3m1!4b1!4m6!3m5!1s0x3963030b6e8c9f4b:0xad9aa8598111496a!8m2!3d22.7532654!4d75.8920725!16s%2Fg%2F11xck_nqp2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuMXJAFNdTYaLh71p3kPdvUxvK_K1qTxDsiknJZi49sjauqmeNbirzuN9TUdTRH6uZINZiYZhlnoZdjh4wRO0ICkBBHUjlna3QJGUBCGkdZlYatmocfHNQA3JghGxYN_marJkVNFnzh5G-=w1024-h768-k-no,
"Wellness Forever Pharmacy - Scheme No. 54, Vijay Nagar, Indore","Ground Floor, Sikka School Rd, near Apollo Hospital, Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",wellnessforever.com,https://wellnessforever.com,086556 06513,Pharmacy,Indore,131.0,4.5,22.7570677,75.8861256,"https://www.google.com/maps/place/Wellness+Forever+Pharmacy+-+Scheme+No.+54,+Vijay+Nagar,+Indore/@22.7570677,75.8861256,17z/data=!3m1!4b1!4m6!3m5!1s0x396303bc31d79ad1:0xaddadb0afe460f07!8m2!3d22.7570677!4d75.8861256!16s%2Fg%2F11tsr2khgs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxm3LxjuvTNA_BAI1hiwScHb0y1MfazzLvcfzSLCbsRS-ycTlQdyP0GY88oU_RsrL9EwsyJF4YgPIWSRVV-pBDwbQ4ULHo1bXCPjvWzMRmGNg2ykUlLzY5CFgtSWado9r75hC4=w1024-h768-k-no,
A R Chemist,"52, Dhar Rd, Malganj, Silawat Pura, Indore, Madhya Pradesh 452002",,,091655 24659,Pharmacy,Indore,20.0,4.9,,,https://www.google.com/maps/place/A+R+Chemist/data=!4m7!3m6!1s0x3962fd491ce0cbe3:0x3fc0bdea6fa8cc43!8m2!3d22.713682!4d75.8472771!16s%2Fg%2F11jygd7j8m!19sChIJ48vgHEn9YjkRQ8yob-q9wD8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH280UuqDvRSFY_xHprlZrxCrP6i7rMv5MyMylVd8N61UcWX2mhdJb3jqoVSvngONdLYn0O29Q_igQ_W_ca6Uy0Eowi3T6XTlCFtjOJ3fVorDD-zk62kdBpmTzoMvFpFbdQ_e7l=w1024-h768-k-no,
