name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
INDORE PLUMBER SERVICES,"Rajendra Nagar, Annapurna Rd, Indore, Madhya Pradesh 452009",indoreplumber.com,https://indoreplumber.com,099778 49019,Plumber,Indore,614.0,4.8,22.6901364,75.8376277,"https://www.google.com/maps/place/INDORE+PLUMBER+SERVICES/@22.6901364,75.8376277,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fc14febf4d05:0x65f193faba7166ee!8m2!3d22.6901364!4d75.8376277!16s%2Fg%2F11dfx6rbyy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAET5EwE160hx5E0iUMz06vYepu6vhMyBruRWLSmibhzv-5ebIzo39PfIJxcFtbE807Ruq914jA-7lCa921ZEZF19fn6AGXg4PLt2TXZbhUOKHeRzV7yY3c0QCYgHwViRXdlbYEeEg=w1024-h768-k-no,
Plumber indore,"Umesh Nagar, Bijalpur, Indore, Madhya Pradesh 452009",indoreplumber.websfb.com,https://indoreplumber.websfb.com,099933 28634,Plumber,Indore,298.0,4.7,,,https://www.google.com/maps/place/Plumber+indore/data=!4m7!3m6!1s0x3962fd59bf44e26f:0x1d0be37f75703cf2!8m2!3d22.6810094!4d75.8351031!16s%2Fg%2F11h583d4kw!19sChIJb-JEv1n9YjkR8jxwdX_jCx0?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4oLwJIx29n3VLJ9CmoymMd2X7Ps8M_RIUBnPH1yICj_3E_3GgzQCDdZjftN2hQmzvJVVlpWXdVz7gdLC7tk_P7UijRfkgDkzR94afuE_eEDE1s8Szt5zJOM_8LSfFlG5UICU=w1024-h768-k-no,
Balaji Plumber Service Indore,"E/82 A, Sector E, LIG Colony, Indore, Madhya Pradesh 452001",,,077248 68982,Plumber,Indore,44.0,4.1,,,https://www.google.com/maps/place/Balaji+Plumber+Service+Indore/data=!4m7!3m6!1s0x3962fde526b01523:0x17816754a9cd4f9f!8m2!3d22.7376727!4d75.8896343!16s%2Fg%2F11pf0dq7kg!19sChIJIxWwJuX9YjkRn0_NqVRngRc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEU3Fwa5UI95L3oelsbGuFzkqpVhI8DQDKhmhpOfJ14K4jh6VoK5pqYk0CbZt38aUpLAPEjKH5MSosdKfOsF6R_ZX9Edr6SphXix0XKRN6R9pPOpHmXsz6buPA5JDigljHlR-Gc=w1024-h768-k-no,
Ajay plumber indore,"604, Bijalpur, Indore, Madhya Pradesh 452012",,,080850 79682,Plumber,Indore,149.0,5.0,,,https://www.google.com/maps/place/Ajay+plumber+indore/data=!4m7!3m6!1s0x3962fdcdf80abdab:0xcf2686a746b073c0!8m2!3d22.6653954!4d75.833891!16s%2Fg%2F11vbf57h1l!19sChIJq70K-M39YjkRwHOwRqeGJs8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbWvVMeL-ZIk9wXr_KEPDXsvuHh6pnoUzxh8a5lXg8ev6ZCH_hLw_ZCbQzjXfZHQRICJ-uxhgdnba4k3SXAK2AkzSVnDWbfvYKAfVEgPL9OjH5QxKbgEourSwAvMVtdpCbN_ONcQ=w1024-h768-k-no,
The indore plumbing service,"53, Shiv nagar, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",theindoreplumbingservice.net,https://theindoreplumbingservice.net,078038 72325,Plumber,Indore,56.0,4.8,,,https://www.google.com/maps/place/The+indore+plumbing+service/data=!4m7!3m6!1s0x3963034044fc8203:0xec2d69919d926489!8m2!3d22.7680209!4d75.8409662!16s%2Fg%2F11lf125wv7!19sChIJA4L8READYzkRiWSSnZFpLew?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSoK7kr3sFfD-B6CwPl9dQdzJi0qwiuAlcahbnInPQqBfynLzTTU4eBAJi6ttgRuBCkqCvlSNmAGSZJk6b_xkPI2EdL4OJHVclyRC6G2rqHgXHKTiAZ6BGjwDB2-19Zxf183E5uhcrc_k=w1024-h768-k-no,
Good plumber indore,"605, Harijan maholla, Bijalpur, Indore, Madhya Pradesh 452012",,,074896 83143,Plumber,Indore,83.0,5.0,,,https://www.google.com/maps/place/Good+plumber+indore/data=!4m7!3m6!1s0x3962fd7488df0e25:0x772e144486dad5cb!8m2!3d22.6681452!4d75.8490197!16s%2Fg%2F11y1vj3x9j!19sChIJJQ7fiHT9YjkRy9XahkQULnc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBZIZoAVEsqvgvomoMiA1G6VPXENShcYi9jqQRsX0fMM9LZajjZ4ouq-wsViBt7-Gk1QKS6975wtvgCdEGRA3X6k2ijCA96xQsiE2Yy9884sZaYsGkdHL3tqjnl1YtWmFoGWDM=w1024-h768-k-no,
Chouhan Plumber services | Water Proofing | Bathroom Renovations | Push Wall Repairing | Indore Best Plumber,"599, Bijalpur, Indore, Madhya Pradesh 452012",,,099265 70758,Plumber,Indore,99.0,5.0,22.6666609,75.8399888,"https://www.google.com/maps/place/Chouhan+Plumber+services+%7C+Water+Proofing+%7C+Bathroom+Renovations+%7C+Push+Wall+Repairing+%7C+Indore+Best+Plumber/@22.6666609,75.8399888,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd9c79cfe3f5:0x32234ccb0b227e39!8m2!3d22.6666609!4d75.8399888!16s%2Fg%2F11w4g7ymc2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwBn-K--GHwwwczd9L2ox6r4SP97GJIPXfFJMXZqSrR1KilWweF5NIPAL3zLgOgob3TLVSpj2QAHXPOV1Hl8BAKaLZRr7QlHeJy1HYTxj10E-8__Mb3axxzMugiV71DTewVGVj1oOWa7BQ=w1024-h768-k-no,
Indore expert plumbing service,"Silicon City, Indore, Madhya Pradesh 452012",,,096172 09444,Plumber,Indore,170.0,5.0,,,https://www.google.com/maps/place/Indore+expert+plumbing+service/data=!4m7!3m6!1s0x3962fb445cb26be3:0x435292c85317be6!8m2!3d22.6451559!4d75.8335843!16s%2Fg%2F11swq1tl4g!19sChIJ42uyXET7YjkR5nsxhSwpNQQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_BynNFA_wJaW4o1U5P4meu4PFEClKEaiTBB4hBDaqaBNnjbjC-ntFqCjHalWd04-dDr2sYAxN7ITiMKkriFZLsUViPyCwpCzrgS_CpNOtJieNbgg8e7ymbjFZpxXLzLwNHxAtBQFS-qI=w1024-h768-k-no,
Anant Plumbing Services,"321, Chota Bangarda Rd, near New Era Public school, Rukmani Nagar, Indore, Madhya Pradesh 452005",sites.google.com,https://sites.google.com,094793 55264,Plumber,Indore,48.0,4.9,22.7327925,75.8297082,"https://www.google.com/maps/place/Anant+Plumbing+Services/@22.7327925,75.8297082,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd3746635edb:0xd8ac433e3531fc95!8m2!3d22.7327925!4d75.8297082!16s%2Fg%2F11h41rxqny?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWl2AwTHhNfcLAVF-RZiW3GNY8zuR2odYaDQSuu7zu5YwoECg1rXWA4f5yeyhwxibtrdnlxFJR3Ucui9oZP1-AFH_zkqvnWOvOeqm-5tOob01VRfnhJfTxSRgxq5RdqHP82z7g_Q=w1024-h768-k-no,
Quick plumber service,"268,B, Pulak City, Silicon City, Indore, Madhya Pradesh 452012",quickplumberservice.netlify.app,https://quickplumberservice.netlify.app,096440 76261,Plumber,Indore,92.0,5.0,22.6388938,75.8309433,"https://www.google.com/maps/place/Quick+plumber+service/@22.6388938,75.8309433,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd786ed68199:0xd29aca5d750ca185!8m2!3d22.6388938!4d75.8309433!16s%2Fg%2F11sz0hyhcp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG666NQabOQcXS_Cd6QZgMW-p3-PzWO3IXR0h07nM9flGOykmjcwg5GU0CMFEz89Ke9zwL4hsA5dXtoymcROtpuu1st95WpuZj8T9X8tLIe8-UkQ0mZ5WcQoCA9YC1lUfO7KBrRtw=w1024-h768-k-no,
