name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Divyta Real Estate Private Limited | Best Property Consultant | Real Estate Broker in Indore,"4th Floor, Darshan Mall, 309, 15/2, Race Course Rd, near white crow store, Race Course Road, Indore, Madhya Pradesh 452003",divyta.com,https://divyta.com,098930 99190,Real Estate Agent,Indore,54,5.0,,,https://www.google.com/maps/place/Divyta+Real+Estate+Private+Limited+%7C+Best+Property+Consultant+%7C+Real+Estate+Broker+in+Indore/data=!4m7!3m6!1s0x3962fd729d8ef1e3:0xe8076a6035c1c8f0!8m2!3d22.7261164!4d75.87849!16s%2Fg%2F11g_y_3vl7!19sChIJ4_GOnXL9YjkR8MjBNWBqB-g?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ_oeYqiYuGDUeoY7WgnY79heYYzE5dIIt6t0yqcBgjT4DvheDOy6wfdr12c4CLjja8YSXwlVuoSKCdDOrLwz_nGZqFdOknl3lOe1Z6MGJpFLC0nbJVS6MXHKdYnhlBBjKYkk=w1024-h768-k-no,
atharv properties consultant,"L.G.6, Palasia Tower, Near 56 Dukan, New Palasia, Indore, Madhya Pradesh 452001",atharvproperties.in,https://atharvproperties.in,090093 11555,Real Estate Agent,Indore,390,5.0,22.7251332,75.8839397,"https://www.google.com/maps/place/atharv+properties+consultant/@22.7251332,75.8839397,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fde58fcfcd8d:0xaac255e5f5263378!8m2!3d22.7251332!4d75.8839397!16s%2Fg%2F11t6ww3yr7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLdQY3XeGy-LdGmcytg5rB0F6KsBafrS16_ze-RpHSkVTfGivxDd9keVLJxWtjaS2U6vKl-vaesGEoFg7m2f-D5ib6OYsmX6NKOLeMxZKq5c5N2J-Yugiw9RBor06BxN4P8M2UT0Jq2Mph=w1024-h768-k-no,
Shri Giriraj Real Estate,"35, Arpan Apartment, Saket Square, Saket Nagar, Indore, Madhya Pradesh 452018",shrigirirajrealty.com,https://shrigirirajrealty.com,091111 08088,Real Estate Agent,Indore,101,4.6,,,https://www.google.com/maps/place/Shri+Giriraj+Real+Estate/data=!4m7!3m6!1s0x3962fd3c366e90b1:0xf78a2eed27e7327d!8m2!3d22.724839!4d75.8967534!16s%2Fg%2F11fl0cmnc3!19sChIJsZBuNjz9YjkRfTLnJ-0uivc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHH9JJsacG9G9FxECHGCmKyvo_ik3I37vhBQQQgpumwK2jEv-gl7-9mGXSjXIUm-E0mYFPSF-4unfCsx0FY8a0HpgZVw6Lo_W8-ZKeMLZ6uj36MijVqPfKEU6mH50GzwZ0x270=w1024-h768-k-no,
Next Property Indore - Premium & Luxury Real Estate Company,"Office No 16 Lower Ground, AB Rd, Opposite Raghunath Prasad Petrol Pump, Vijay Nagar, Scheme 54 PU4, Indore, Madhya Pradesh 452010",youtube.com,https://youtube.com,096852 42511,Real Estate Agent,Indore,38,5.0,22.7453065,75.8942294,"https://www.google.com/maps/place/Next+Property+Indore+-+Premium+%26+Luxury+Real+Estate+Company/@22.7453065,75.8942294,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdeeede2e1ed:0x9c80e22292050b27!8m2!3d22.7453065!4d75.8942294!16s%2Fg%2F11y5z82pmf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbfMqCRv8qGffD_SZvsiOIKBUGiBkAHd6D9BbyWgElf4VqL8Xs-CCpiqlmCuNng7d83S1eIrBkWfO5wL-msAcIBOfEwGhAG1fdEL6gxhkN8AcML-SWEmtVC_tvot_08HjdcT7b=w1024-h768-k-no,
Property Square Indore,"Gopur Square, Gopur Colony, Indore, Madhya Pradesh 452009",,,095222 29283,Real Estate Agent,Indore,305,4.9,22.6838333,75.8292959,"https://www.google.com/maps/place/Property+Square+Indore/@22.6838333,75.8292959,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdb01b471d6f:0x12ee43a0ea240cac!8m2!3d22.6838333!4d75.8292959!16s%2Fg%2F11n104_v28?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAENqSVRqEO8TIw0JjK-CzhD9ZtLalO-zE50Gl5I8wyDDfqXWIYXd-A5I7cOVPDPdbK40NoNdZbedWAdJsTTjxnJi3bbLWn19qc_cx2g0ZPuV6OnxhvTQxY6oUB4qcosYbr4Qr3c=w1024-h768-k-no,
Mahakal Property Brokers,"https://maps.app.goo.gl/8oCW1TZrcvBxzsFN7, 119, near MONICA BAKERY, Jhulelal Market, Kranti Kriplani Nagar, Indore, Madhya Pradesh 452009",instagram.com,https://instagram.com,090987 34550,Real Estate Agent,Indore,297,4.9,22.6911735,75.8384155,"https://www.google.com/maps/place/Mahakal+Property+Brokers/@22.6911735,75.8384155,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd003324aea5:0xc99f1d919a9672f1!8m2!3d22.6911735!4d75.8384155!16s%2Fg%2F11lmdj9_73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEd_6VGz5Rpl4pTSH18p25EcM1asSU0l8r1z5OPQIyvB7cuwBN4ot8amCj3UJ9fW6DYkD18rbMdcv4L7JJ5OZ2ooiJki6cAqForwQ4f3qMapIE0yNCxOfFkfzLVXfludd705czlKlTi8yc=w1024-h768-k-no,
EasyWay HD Services | Rental Property Brokers in Indore,"2nd Floor, Tulsi Nagar, E 19, near Namrata Garden, Tulsi Nagar, Nipania, Indore, Madhya Pradesh 452010",sites.google.com,https://sites.google.com,093006 21511,Real Estate Agent,Indore,525,4.9,22.7529554,75.9218349,"https://www.google.com/maps/place/EasyWay+HD+Services+%7C+Rental+Property+Brokers+in+Indore/@22.7529554,75.9218349,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd6d5c629411:0xe430215861ab21da!8m2!3d22.7529554!4d75.9218349!16s%2Fg%2F1td4byx_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWHySH9OKy4xAl4hnB2oIv503xgVtZ7g84WADKChfgluNuJCSOlhFgRPxx0XUEaoD1934m9EIpqp5Xhu-64APzi3rkaLAKcl_9Xaf2Rq7cTq929dlCmdrMVx_etyDWD-J4orECJLmS3QOL=w1024-h768-k-no,
Raag real estate property broker,"Vijay Nagar, 45/A, Scheme No 136, Bulandshahr, Scheme Number 136, Indore, Madhya Pradesh 452010",raagrealestate.in,https://raagrealestate.in,078988 33876,Real Estate Agent,Indore,75,4.7,,,https://www.google.com/maps/place/Raag+real+estate+property+broker/data=!4m7!3m6!1s0x396303fe5c17c2d1:0xa9ddc93666b3f80f!8m2!3d22.7736535!4d75.88972!16s%2Fg%2F11vdvjxzyp!19sChIJ0cIXXP4DYzkRD_izZjbJ3ak?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFqLNl7VWh4rKC75VIoBMebNUKIm9M2k9jG5e8Xf3ENaiGjMpBLdxgUVdtMR0iqtrWg1GvV0SimpKmhqJAKyXyDS0AYdfSDn41ESzhEw68fc9YNyqN31F93PkL9Vp3EQqcT1ln=w1024-h768-k-no,
Kothari property brokers,"134, Airport Rd, near Geetanjali Hospital, Ramchandra Nagar Extention, Ramachandra Nagar, Indore, Madhya Pradesh 452005",api.whatsapp.com,https://api.whatsapp.com,,Real Estate Agent,Indore,47,4.9,22.720545,75.8330818,"https://www.google.com/maps/place/Kothari+property+brokers/@22.720545,75.8330818,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdbe2d571e83:0xd6f9583c7fb9912b!8m2!3d22.720545!4d75.8330818!16s%2Fg%2F11hd92zw_6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2JLV9bj9DeaV0EyhhDlWRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=220.52222&pitch=0&thumbfov=100,
Best Price Real Estate,"UG 33, BCM Heights PU 4, Near, Bombay Hospital Service Rd, Scheme 54 PU4, Indore, Madhya Pradesh 452010",bestpriceproperty.in,https://bestpriceproperty.in,090092 34000,Real Estate Agent,Indore,66,4.9,22.7538084,75.9003294,"https://www.google.com/maps/place/Best+Price+Real+Estate/@22.7538084,75.9003294,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd273cc68969:0xebb4b0b430bacd80!8m2!3d22.7538084!4d75.9003294!16s%2Fg%2F11p01_xf7d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFg3M68c5srQFLhKTEQW5mP_mv-bRxa6KNiGcJIp4CUV-QVqX1OwJyVBL7JrIX3lXJ7bnE4CilJjfjtKkrIVNd-QXKu9ui8cE-69s5wPmWfhMDEKLvG31CVnq9c_uei-ZO1kdqYdA=w1024-h768-k-no,
