name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Indore Kitchen,"H-2, Scheme No 54, Meghdoot Garden, Vijay Nagar, Indore, Madhya Pradesh 452010",marriott.com,https://marriott.com,0731 477 7777,Restaurant,Indore,473,4.5,22.752761,75.883601,"https://www.google.com/maps/place/Indore+Kitchen/@22.752761,75.883601,17z/data=!3m1!4b1!4m6!3m5!1s0x396303652212c735:0x717b2f094a61f41b!8m2!3d22.752761!4d75.883601!16s%2Fg%2F11kfr5nz07?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeZZMxvXHW2MiGCT4XXSp3iyd6mh6ECuz9Zx9RNoiGOzCtjf8tjmpjMpob4wgKDbCeNzZM537KJbcIopBt074U1quPestyf71ZbgADNKT-IL8l-xQ9d4wn8tsKp8PdTmNANdLc=w1024-h768-k-no,
Hotel Shreemaya,"12, RNT Marg, South Tukoganj, Indore, Madhya Pradesh 452001",shreemaya.com,https://shreemaya.com,0731 251 5555,Restaurant,Indore,7051,4.5,22.7152543,75.8747204,"https://www.google.com/maps/place/Hotel+Shreemaya/@22.7152543,75.8747204,17z/data=!3m1!4b1!4m9!3m8!1s0x3962fd169713cfcd:0x468e165e059d7f99!5m2!4m1!1i2!8m2!3d22.7152543!4d75.8747204!16s%2Fg%2F11b6djqvz3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKj1hM6nK7ddvM9aJkIVsDKFX2MH7BPC3jHHiSJaa93T6e106R6h1sXryuQnUf37sICczUvG4RtljCPN0Doww78pI5KdDSVfSFy6xd5HkdEoFXPgS3czjZiwL6siKdZ5QsH2ZA=w1024-h768-k-no,
Dhaba Junction - DJ (Indore),"Pal Bag, Scheme 103, Indore, Madhya Pradesh 452012",dhabajunction.com,https://dhabajunction.com,098260 14015,Restaurant,Indore,2440,4.0,22.6769146,75.8417914,"https://www.google.com/maps/place/Dhaba+Junction+-+DJ+(Indore)/@22.6769146,75.8417914,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fc42ab745271:0x45364f13ec5879c!8m2!3d22.6769146!4d75.8417914!16s%2Fg%2F1260lzfx7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAESjtWnw_65O5gGeTdq0IaCvgoTFVCGTu21lBJwPSUrVFH1hs4AqYxZmGzuwja3gujm-hsyiH0eMyOthHyhU35OSKkVtvgo1Xi6G2QwEXmjIxg82LNMerbmKZAtbdrlkuG2UhIRrA=w1024-h768-k-no,
Aarambh Restaurant and Banquet,"2nd floor, Jindal Height, near, Sapna Sangeeta Rd, Snehnagar, Indore, Madhya Pradesh 452001",aarambhrestaurant.in,https://aarambhrestaurant.in,099810 20966,Restaurant,Indore,1489,4.6,22.7013261,75.869552,"https://www.google.com/maps/place/Aarambh+Restaurant+and+Banquet/@22.7013261,75.869552,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd1fd43153a5:0xb5a50727f97c3c27!8m2!3d22.7013261!4d75.869552!16s%2Fg%2F11vq2c3_8h?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYH1xbZrAB-11dHrng7ACJfDX66-aEwopKHqQJK6S433GqyAvU0sTlV71TAr99fnhOJya85yUm2u0VsAjjGLtM8-6BNgISKZMUVk-MscLogR6i7Ggnk118d85dXWYemAGJns8P=w1024-h768-k-no,
AL-QASIM RESTAURANT,"2, Nasiya Rd, opp. Sarwate Bus Stand, Jawari Bagh Nasiya, Chhawni, Indore, Madhya Pradesh 452001",,,083054 65435,Restaurant,Indore,2162,4.6,,,https://www.google.com/maps/place/AL-QASIM+RESTAURANT/data=!4m7!3m6!1s0x3962fd5fad9e9b9b:0x418a3999c624f0b4!8m2!3d22.7134059!4d75.8694591!16s%2Fg%2F11qpzv92hz!19sChIJm5uerV_9YjkRtPAkxpk5ikE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFhzhPUCPgGgLvBl_26G21K8kFAHH9sWnGTHtGtaHBn1cZuGDW6pvgJDACzjiAVF4lfH6VL7VboHIB858hk01PFk4U2NFga9rkh45q3SqbXDKAHIgjm7Xog-ISpul8p1pjoyXi=w1024-h768-p-k-no,
Nafees Restaurant,"30-B, Greater Kailash Road, New Palasia, Indore, Madhya Pradesh 452018",,,090390 90005,Restaurant,Indore,10523,4.0,22.7258553,75.8879332,"https://www.google.com/maps/place/Nafees+Restaurant/@22.7258553,75.8879332,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd3801510bbf:0x6d8191294761bb3d!8m2!3d22.7258553!4d75.8879332!16s%2Fg%2F1tk8l_9q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNeD4F9JFvmzq9PhhiZvLlz325xmr73TuUfMzdmsfMCdS8w0VCB8Ku71SBEaVEXl78DiFqT-lh3UZfNZBYF5FZ7we6G9-bPrtgzzS2CSz_EFw-vt6tKOAnGFohB-LVIV8yEIKH6Q=w1024-h768-k-no,
Essence of spice | Restaurant In Indore,"Bypass, Indore, Morod, Madhya Pradesh 452012",,,088788 79009,Restaurant,Indore,475,4.6,22.6397671,75.853692,"https://www.google.com/maps/place/Essence+of+spice+%7C+Restaurant+In+Indore/@22.6397671,75.853692,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fb003eb70eb9:0x5a8b778ce702efb4!8m2!3d22.6397671!4d75.853692!16s%2Fg%2F11vst5k9bk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpVf2u7MAEwn1RXIMUY7qjnSrDCyuBvQ2ZZesQATYk8M1Bi1ORkIw1nJtVWcH53iWKKNdDZQAQwCxjgYOucYXmzMrGCYke3YgPXgEwdsk3CuPgfeR0BpUYJUBOJ4mzpDFkN91m_w=w1024-h768-k-no,
Al karam Indore kitchen's and restaurants,"2nd Floor, 1&2, Madhumilan Square, Opp. Dawa Bazar, Kibe Compound, Indore, Madhya Pradesh 452001",,,098934 42270,Restaurant,Indore,815,4.6,22.7136438,75.8745217,"https://www.google.com/maps/place/Al+karam+Indore+kitchen's+and+restaurants/@22.7136438,75.8745217,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd93c658f3cf:0x5ebc7ae1bca4ab06!8m2!3d22.7136438!4d75.8745217!16s%2Fg%2F11scjqq_vz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8SP29Lxptptu2a_w4ywQBNAo2kI15NGA4S1_m4G9Nl4tFrJTjowiaOPXqN-17DIY-79NEYeJ93ZUv3inRtAw6uJSLYhylqBNX6_7I2zZPla2HAZ-eoXy4cAkOzlJ5ApShyYXuwA=w1024-h768-k-no,
Blue Fairy Restaurant,"Emerald Business Park, 9, Manik Bagh Rd, Palsikar Square, Nai Duniya, Palsikar Colony, Indore, Madhya Pradesh 452007",instagram.com,https://instagram.com,,Restaurant,Indore,349,4.9,22.7071709,75.8560516,"https://www.google.com/maps/place/Blue+Fairy+Restaurant/@22.7071709,75.8560516,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd42f9d7b8cf:0xf7d4918224b97d71!8m2!3d22.7071709!4d75.8560516!16s%2Fg%2F11mrqhb7tw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6FWmut1Lx1M0zLF7tkrnBsqWwuHHYOEo69PhVM2K_sybPk3xen6zsqzfMjDmE7oJZt4B0tjg4IMe8vPrPRV1TtCUBTQjAly1rpX1FWIqYAR-2zsOHn9_boM55N2c1H_9GsHHs_c_MOydu=w1024-h768-k-no,
Herb's & Chillies (Saffron Cafe & Restro),"168, Babu Lalchand Chajlani Rd, Model Town Colony, Revenue Colony, Sachidanand Nagar, Indore, Madhya Pradesh 452009",,,074404 13000,Restaurant,Indore,248,4.6,,,https://www.google.com/maps/place/Herb%27s+%26+Chillies+%28Saffron+Cafe+%26+Restro%29/data=!4m7!3m6!1s0x3962fda93857dab1:0x28c9c751657d5fba!8m2!3d22.7008461!4d75.8447307!16s%2Fg%2F11pz7y0qck!19sChIJsdpXOKn9YjkRul99ZVHHySg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyI-mDQDkFVhHjWLTjyfH7oLTWm5sBZaFlQLGMiqCm-Byv_qV-pujPHsEvR60_Mf_5nbX4ChtYdedjXbwmXR531qyJ5hEtHKxfB3Q0ylChhQO35I8wqvjL7m-T7rzO3jzcTBg6=w1024-h768-k-no,
