name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
show off luxury unisex salon,"115 47, Sapna Sangeeta Rd, behind Vikram Tower, Old Agarwal Nagar, Indore, Madhya Pradesh 452001",showoffsalon.in,https://showoffsalon.in,091118 00042,Salon,Indore,1099,4.7,22.700689,75.8701708,"https://www.google.com/maps/place/show+off+luxury+unisex+salon/@22.700689,75.8701708,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fde17ab79d1b:0x932b93116159dd1a!8m2!3d22.700689!4d75.8701708!16s%2Fg%2F11sb9hcgqx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGN748nc98B4U-8ZoyBHE_vQooCF03EIIlXcwcLujwxApSMO3yWspHDn_olVj5mf7Niag7IJVLQIQtxnoPeCl9Jw9PjSieEBpw9VlLtQhPHT9xh_iK0mguSp_piuKYF3H7yyJ24wKI6CIzC=w1024-h768-k-no,
Orchid Unisex Salon & Academy best salon best makeup,"2nd Floor, Plot No, EC-88, Service Lane, opp. Radisson Blu Hotel, Pushp Vihar Colony, Scheme No 171, Indore, Madhya Pradesh 452010",orchidunisexsalon.com,https://orchidunisexsalon.com,082238 44233,Salon,Indore,532,4.9,,,https://www.google.com/maps/place/Orchid+Unisex+Salon+%26+Academy+best+salon+best+makeup/data=!4m7!3m6!1s0x3962e3e19510734b:0x7cf773521b69e353!8m2!3d22.7501964!4d75.9040907!16s%2Fg%2F11r_xn7_7r!19sChIJS3MQleHjYjkRU-NpG1Jz93w?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhWKmhtc8Fp9HzCf4xoMBhCa6hGkO3RGLEe-lKCQlTLpJNgSOvb2LTqIfNjo_1dQ7h4mTxWn3kTDPLOtr_Z14q2JMHfY28VnpUGyt9Hmw1aEvmqwuUEv2FYR4hA-I8q4r-7c8SCh--0Mo=w1024-h768-k-no,
urbanglow,"111, near Gopur Square, Ahilya Nagar Extension, Ahilya Nagar, Indore, Madhya Pradesh 452009",instagram.com,https://instagram.com,098269 40285,Salon,Indore,725,4.9,22.6833013,75.8314186,"https://www.google.com/maps/place/urbanglow/@22.6833013,75.8314186,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd242fc0db0d:0x2ea3d46a15407bc9!8m2!3d22.6833013!4d75.8314186!16s%2Fg%2F11qg2tphfx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeoKv8xQE5EEoURi3hcsxROWF0E7nMDUIi1-zNkAMEr61xrJ8eDT1liCCJRjBUhkoQJglfi6bSCSYUCMsw3XziZVoGbnmaqV1zqqlWwv9koPohp-EtWRGykNVA6a_2RPNhxxu4MQ=w1024-h768-k-no,
LOOKS SALON INDORE / LOOKS INDORE,"First floor, Indore, Madhya Pradesh 452016",lookssalon.in,https://lookssalon.in,099904 72670,Salon,Indore,343,4.7,,,https://www.google.com/maps/place/LOOKS+SALON+INDORE+%2F+LOOKS+INDORE/data=!4m7!3m6!1s0x3962e3b963eff6f5:0x44e49c2c79ddd0d5!8m2!3d22.7458661!4d75.9358776!16s%2Fg%2F11ld2rdnbm!19sChIJ9fbvY7njYjkR1dDdeSyc5EQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCQUdMCHWYuIP2B3LP05zAQUAzetxbl6PcCrJV_L2kPhb1HxksVAfZR2VhMDOt4_X470sIz7nQuJ6evcPbry7pEOYLzKTPA9oBsuS1XvrvXPq2va1cJ1pAkqhP_BXIG5LL1v_Pxw=w1024-h768-k-no,
Kaizen,"Lg 1, Amar Darshan Building, beside Saket pan corner, Near Saket Square, Baikunth Dham, Indore, Madhya Pradesh 452018",instagram.com,https://instagram.com,097552 21512,Salon,Indore,1846,4.7,22.7254967,75.894822,"https://www.google.com/maps/place/Kaizen/@22.7254967,75.894822,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd729367858b:0x8f88f255452e2985!8m2!3d22.7254967!4d75.894822!16s%2Fg%2F11lfzrgw4c?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaLXjogulKtf-8AYn3rJYO-eflFxTdIaZ7VdxE7nNyf06QIHS7Roc7O0FcBsZ2-SQsHpIn-Adm8MKSRHArw5uyvfchoLNRbL6j6KvoEfwMuOULXwyawhtiQdzli4njN8W3gAvaVw=w1024-h768-k-no,
Raj unisex salon jeetu and lalit,"Rajsalon 1floor, Alok Nager, 343, Kanadia Main Rd, Alok Nagar, Indore, Madhya Pradesh 452016",facebook.com,https://facebook.com,0731 497 5999,Salon,Indore,1433,4.7,22.725515,75.92184,"https://www.google.com/maps/place/Raj+unisex+salon+jeetu+and+lalit/@22.725515,75.92184,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e2c17b5213c9:0xec89ed0ab15b37ec!8m2!3d22.725515!4d75.92184!16s%2Fg%2F1vd6_qz1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGocAk0Zoq66bBEmedW0ujJWK-7mU8dm_xIHBsuy8WVL_CMioZbnIZVJe0uHobVy9I4wgr9p7I4ftkaKqrT_I_9UIPz8y4bhEsEMyduqKfkEzjGWlgPDxF2O5yrehJHgxISYOT3z-i0nqzG=w1024-h768-k-no,
The Wow Factor Unisex Salon - Hair | Skin | Makeup | Nails Salon in Indore,"12, near Apollo DB City, Samar Park Colony, Nipania, Indore, Madhya Pradesh 452010",,,079052 93466,Salon,Indore,1510,4.9,,,https://www.google.com/maps/place/The+Wow+Factor+Unisex+Salon+-+Hair+%7C+Skin+%7C+Makeup+%7C+Nails+Salon+in+Indore/data=!4m7!3m6!1s0x39631d8f02916fed:0x6d32c4c59eeef884!8m2!3d22.7622449!4d75.9219273!16s%2Fg%2F11vb17b2qp!19sChIJ7W-RAo8dYzkRhPjunsXEMm0?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH51d2CTv4HuM-Sbcf6VgTVdsPVFz4rn5cUUA9g1qjukZr5Lkf4EL-mlyQc_rb2II1afxDOXoIY8uEqaUu5jyF0dLNMqLkmP0-nlLShRHzSExVcmMjUpN11qLHEAZjhNi-Wumbm=w1024-h768-k-no,
Matrix Silicon Beauty Salon™,"3, Annapurna Rd, Prabhu Nagar, Indore, Madhya Pradesh 452009",matrixsiliconsalon.in,https://matrixsiliconsalon.in,077489 81234,Salon,Indore,942,4.8,22.6789452,75.8345979,"https://www.google.com/maps/place/Matrix+Silicon+Beauty+Salon%E2%84%A2/@22.6789452,75.8345979,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd8e5c82504b:0x77b1d8061c2d92ca!8m2!3d22.6789452!4d75.8345979!16s%2Fg%2F11qpyym61b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfCgCMQb-zaPmlucdq4b9giWL8CE7WX9xCQs_ydGFwVd1mixPlj5T3hMiMyI7MWY3cCYUxZQJ4DYr46awU1fjix-A9Y78pmM1oDcRaTqLKsOMWnxpwbLm_NXti_LD7ytVnA9-DgA=w1024-h768-k-no,
Matrix Creato Salon,"2nd floor, Sapna Sangeeta Lumiere, Sapna Sangeeta Mall, Sapna Sangeeta Rd, Snehnagar, Indore, Madhya Pradesh 452001",,,087704 36772,Salon,Indore,1968,4.6,22.6992266,75.8671135,"https://www.google.com/maps/place/Matrix+Creato+Salon/@22.6992266,75.8671135,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fce2ec2c5b11:0x8469db7869809704!8m2!3d22.6992266!4d75.8671135!16s%2Fg%2F124sycn3_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6a0hVLo5l-Qji0vn7_ENEZDnDAFJzSEIW7v0GRS-6PNd-oW0tgwousEfGFy8AZkFddhQy8JO_U2Ni5bswIavqBwGzyfsNY_d2ocZI4w8EVFpZShyvBsGLqfR1NZy7PlY7oEE=w1024-h768-k-no,
Mr. Nai Unisex Salon,"Vijay Nagar, Plot Number 69, near Vrindavan Restaurant, Scheme Number 78, Part 2, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",instagram.com,https://instagram.com,088788 88904,Salon,Indore,577,4.6,22.7615971,75.8858763,"https://www.google.com/maps/place/Mr.+Nai+Unisex+Salon/@22.7615971,75.8858763,17z/data=!3m1!4b1!4m6!3m5!1s0x396302a97eaaaaab:0x5fddab15ab5cb39f!8m2!3d22.7615971!4d75.8858763!16s%2Fg%2F11kb7jdgj8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-g3m1VsLIwH4rAQsALPLRUrj6UGLYttI9PZ6hfh0xL6XJXOCJzG5-L10TUhTHBR8aK1dow-FZEkkAlIB8KRtY2V3QyFI_BsAIjvTxLdkXWzIZMz7ve81wI_w0GWV9MN-hUl5c6g=w1024-h768-k-no,
"Geetanjali Salon - Phoenix Citadel, Indore","UG 89, MR 10 Rd, nearby Westside Clothings, Indore, Madhya Pradesh 452016",salons.geetanjalisalon.com,https://salons.geetanjalisalon.com,092117 11463,Salon,Indore,1268,4.8,,,"https://www.google.com/maps/place/Geetanjali+Salon+-+Phoenix+Citadel,+Indore/data=!4m7!3m6!1s0x396303754f77556f:0x492552a93a7a4ef!8m2!3d22.7467459!4d75.9360352!16s%2Fg%2F11tmwn_hk2!19sChIJb1V3T3UDYzkR76SnkypVkgQ?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKqz0jW0yiD_jhX2s_f-KWU71oajFIdqNGqGvO_jKYhhvDVNFyclyFOYD19ZhPafGNda8Uz0W_6o4EKzs5HNNUibDz4zGrEik487oJ4AmF3eI7y3L84UdoOEtNKN-OlBRUQ13uew=w1024-h768-k-no,
