name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Podar International School (CBSE) Indore - Vijaynagar,"Satya Sai Circle, Scheme No.74, A.B.Road, behind Shri Panchmukhi Hanuman Mandir, Indore, Madhya Pradesh 452010",podareducation.org,https://podareducation.org,063664 37967,School,Indore,316.0,4.2,22.7568853,75.8956871,"https://www.google.com/maps/place/Podar+International+School+(CBSE)+Indore+-+Vijaynagar/@22.7568853,75.8956871,17z/data=!3m1!4b1!4m6!3m5!1s0x396302ac6db3dcbd:0x1b95d11f5af987d2!8m2!3d22.7568853!4d75.8956871!16s%2Fg%2F11znp7kb2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGJsc8GpoGqJVTNtwWvPFRW4KOl8RRB6hUD8CxKIUAmuH6Kty7bJJnNZcrtl4CyzJiLWE7_G7rbjFH0v4hgHKq-X_RUmnAXbKt3DqvqEP2dtHWVu1xMpbe86-HwWomOGUJqilS=w1024-h768-k-no,
VIBGYOR Rise | School in Indore | CBSE,"Plot No 16, Scheme Number 78, Vijay Nagar, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010",vibgyorrise.com,https://vibgyorrise.com,060030 00700,School,Indore,122.0,4.5,22.7652217,75.8831999,"https://www.google.com/maps/place/VIBGYOR+Rise+%7C+School+in+Indore+%7C+CBSE/@22.7652217,75.8831999,17z/data=!3m1!4b1!4m6!3m5!1s0x396303a58841cf9b:0x3cbe9c8d08c55fcc!8m2!3d22.7652217!4d75.8831999!16s%2Fg%2F11gtg7ddhd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPKm_mRmDaADddc7dPHL7XJge8b4tG9Ot0fiGDf1VlN26h6nxyeWyRVc8pfXnIo2KZZG0YBFaTJDHy911_eyc8zGEK03KDs8X81VMNGjzUqr1v4xXm0QLFRv4You8XaY4ZFl0=w1024-h768-k-no,
Ideal International CBSE School,"Govind Colony Main Road, Infront of Sch. No.51, Near Kamla Nehru Colony, Govind Colony, Indore, Madhya Pradesh 452015",idealinternationalindore.com,https://idealinternationalindore.com,096442 00400,School,Indore,371.0,4.4,22.7419225,75.8418501,"https://www.google.com/maps/place/Ideal+International+CBSE+School/@22.7419225,75.8418501,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd86259a2961:0xee1addb45d26b53f!8m2!3d22.7419225!4d75.8418501!16s%2Fg%2F11cm_pn4hz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqxeq6mxDQiRo5tqKKsGpcRIAy7GlKu6S4SY0yWRA10ZuHqw1jQhEJBeMYWX6NRtVJBdOs3vtN9oyv21zHlj_qkc5gQ1Yr7kOAuovHLMUfu4n3oXH8dN9GUi1DGqtik9HjGEqb_w_0vra9=w1024-h768-k-no,
"St. Paul Higher Secondary School, Indore","7, Boundary Road, near Agriculture College, Krishi Nagar, Indore, Madhya Pradesh 452001",stpaulindore.com,https://stpaulindore.com,0731 249 2292,School,Indore,,,,,"https://www.google.com/maps/place/St.+Paul+Higher+Secondary+School,+Indore/data=!4m7!3m6!1s0x3962fd6d5c629411:0xb6c4d3f81d6308be!8m2!3d22.7140227!4d75.889621!16zL20vMGJnX2p4!19sChIJEZRiXG39YjkRvghjHfjTxLY?authuser=0&hl=en&rclk=1",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEP5T1q9BaR2coeHewAz8x-uWLxRPTkdNsokhgD-vMEj_Ahd7fGDah7d_jiV8lrf4eFgg4vTd-Zo5hkxZJ_KaALfxj4KR6uQounlTVCZwzR68pzOqCt6PbyWo-Gm_Xh0UO_SOY=w1024-h768-k-no,
"Ryan International School, CAT Road, Indore - CBSE","near, Scheme No. 97/4, 636, CAT Rd, VIP Paraspar Nagar, Slice 4, Scheme 97, Vip Paraspar Nagar, Indore, Madhya Pradesh 452012",ryangroup.org,https://ryangroup.org,0731 297 1041,School,Indore,,,22.6748313,75.8211642,"https://www.google.com/maps/place/Ryan+International+School,+CAT+Road,+Indore+-+CBSE/@22.6748313,75.8211642,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fc3d74d26abd:0xc9f11955fbbd6cda!8m2!3d22.6748313!4d75.8211642!16s%2Fg%2F124ycdlsw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFe_cmUBC7b9gadAkDEkhMw1OupHPES0FREEdkKNinkmwb3FsmiV-Wyl4vlEPk5EmXDZxh_84RFvS2-ebYiI7JRq8GA_hjc6Fp09h9sQO6BxONyxJWVekWi1sCTntrtXehrYdE=w1024-h768-k-no,
The Emerald Heights International School,"A.B. Road, Rau, opposite Akashwani, Indore, Madhya Pradesh 453331",emeraldheights.edu.in,https://emeraldheights.edu.in,087200 09992,School,Indore,,,,,https://www.google.com/maps/place/The+Emerald+Heights+International+School/data=!4m7!3m6!1s0x3962fc081a1e5019:0xeb41f73ed85b2d71!8m2!3d22.6507917!4d75.819632!16s%2Fg%2F1tj7zcgd!19sChIJGVAeGgj8YjkRcS1b2D73Qes?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMMCFlCzYalc2f5d5ETDdZ2PQosVh48hVxSGg-kJ2LtMReUh8C2FiRnf0VP0oYtVrUGpizLTG0hR3wGc1RbF4ecYcgHCBEAVsAmZKxadXBn_UO69zkmhL3_ml2o0XEVvL8GKhU5w=w1024-h768-k-no,
The Shishukunj International School,"QW4W+6PQ, Jalaria, Bypass Road, Indore, Madhya Pradesh 452016",shishukunj.in,https://shishukunj.in,096447 33315,School,Indore,,,22.7555873,75.9468531,"https://www.google.com/maps/place/The+Shishukunj+International+School/@22.7555873,75.9468531,17z/data=!3m1!4b1!4m6!3m5!1s0x39631d8063170419:0xe05866aeef1f62e4!8m2!3d22.7555873!4d75.9468531!16s%2Fg%2F1v2gc4ct?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGtEQsUG-oGDN0D0nC24KgYaH6SzNzIG1XaWMa7Sn_qc9drSUbMXsBqtVnyRVTMSK38zIBEyRYCU4b-0qsDAsozLu9ybBTr80StbiodopJ_CxBuyKAlQkxMb6rT50ohDdmqiTmI=w1024-h768-k-no,
Shri Krishna Public School- Best CBSE School in Indore,"Tilak Nagar Main Rd, Near Mangal Shree, Sector A, Tilak Nagar, Indore, Madhya Pradesh 452018",skpsindore.com,https://skpsindore.com,0731 249 1947,School,Indore,,,22.7188934,75.9000289,"https://www.google.com/maps/place/Shri+Krishna+Public+School-+Best+CBSE+School+in+Indore/@22.7188934,75.9000289,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd330625b48f:0x2e36bcd88a8b14b8!8m2!3d22.7188934!4d75.9000289!16s%2Fg%2F11v0rsjn7_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAELNsxgrqOPXEl2JZJT0rLwDGx9fh8JIQSC9ACbwM0Q2wTfd3hwi8L2gB2VDVPfNvb6L5n_ylr2gjWCJ93VHzQDvutl8lH1Z4cTMU0tH9Z_yDHgy2GlSJPpw2d7MIK5U1UNJndSbg=w1024-h768-k-no,
EVA World School,"Agra - Mumbai Hwy, opposite Omaxe City 1, Mayakhedi, Indore, Madhya Pradesh 452010",ewsindore.in,https://ewsindore.in,091110 40800,School,Indore,60.0,4.5,22.7801472,75.9347576,"https://www.google.com/maps/place/EVA+World+School/@22.7801472,75.9347576,17z/data=!3m1!4b1!4m6!3m5!1s0x39631d25c922103d:0xdc3bbba004b82c61!8m2!3d22.7801472!4d75.9347576!16s%2Fg%2F11r_m_v3t_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFi15PcgfjP32F00-mKCMkc7UX4OJlWPp3L8RxiC1dinmQGnof7-GvuqAtSsqybgEQiIgaIfvM9O2pDd2vA8p2jKV2a0xokuDsyOdjKd5vU6jYRT8baAXvewbYYY10ZR-sQutHRRQ=w1024-h768-k-no,
Narayana eTechno (CBSE) School - Bicholi Mardana,"Snow City, Plot No 149/1/1/1, Agra - Mumbai Hwy, opposite Sampat Hills, Bicholi Mardana, Indore, Madhya Pradesh 452016",branches.narayanaschools.in,https://branches.narayanaschools.in,1800 102 3344,School,Indore,30.0,4.8,22.6971628,75.9248186,"https://www.google.com/maps/place/Narayana+eTechno+(CBSE)+School+-+Bicholi+Mardana/@22.6971628,75.9248186,17z/data=!3m1!4b1!4m6!3m5!1s0x3962e3692dd043df:0xa729f7ba1b2d647a!8m2!3d22.6971628!4d75.9248186!16s%2Fg%2F11h21fhmwn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7EPdZtVwAztFET1LbdizjCGoFECS3MM_UJQeCQOlFQ7rWuAeUZdF47VD5Qb_5nQE_eOIUs7sVSQy-KJ4jWdW2zuerXXg1rLTiqD2hRlAYztsYF6PEsVll2JV4Fm9lOmBfkyKL=w1024-h768-k-no,
