name,category,phone_number,address,website,latitude,longitude,place_id
INDORE PLUMBER SERVICES,plumber,09977849019,"Rajendra Nagar, Annapurna Rd, Indore, Madhya Pradesh 452009",https://indoreplumber.com,22.6901364,75.8376277,0x3962fc14febf4d05:0x65f193faba7166ee
Plumber indore,plumber,09993328634,"Umesh Nagar, Bijalpur, Indore, Madhya Pradesh 452009",https://indoreplumber.websfb.com,22.6810094,75.8351031,0x3962fd59bf44e26f:0x1d0be37f75703cf2
Balaji Plumber Service Indore,plumber,07724868982,"E/82 A, Sector E, LIG Colony, Indore, Madhya Pradesh 452001",,22.7376727,75.8896343,0x3962fde526b01523:0x17816754a9cd4f9f
Ajay plumber indore,plumber,08085079682,"604, Bijalpur, Indore, Madhya Pradesh 452012",,,,
The indore plumbing service,plumber,07803872325,"53, Shiv nagar, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",https://theindoreplumbingservice.net,22.7680209,75.8409662,
Good plumber indore,plumber,07489683143,"605, Harijan maholla, Bijalpur, Indore, Madhya Pradesh 452012",,22.6681452,75.8490197,
Indore expert plumbing service,plumber,09617209444,"Silicon City, Indore, Madhya Pradesh 452012",,22.6451559,75.8335843,
Anant Plumbing Services,plumber,09479355264,"321, Chota Bangarda Rd, near New Era Public school, Rukmani Nagar, Indore, Madhya Pradesh 452005",https://sites.google.com,22.7327925,75.8297082,
Vihaan plumber Indore,plumber,09009631913,"Shar Aloy, Sukhliya, Indore, Madhya Pradesh 452001",,22.759018,75.8560641,
Quick plumber service,plumber,09644076261,"268,B, Pulak City, Silicon City, Indore, Madhya Pradesh 452012",https://quickplumberservice.netlify.app,22.6388938,75.8309433,
Prakash plumbing services indore,plumber,,"Bhawarkua Main Rd, Navlakha, Indore, Madhya Pradesh 452001",,,,
Total Plumbing Solution,plumber,09098311336,"Main Rd, near Bombay Hospital, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010",https://jsdl.in,,,
Deepak Plumber,plumber,09977727438,"Little Flower, School, Silverwings Appartment, 103, Khajrana Rd, opposite to Indore, Chandralok Colony, Indore, Madhya Pradesh 452018",,,,
Chouhan Plumber services | Water Proofing | Bathroom Renovations | Push Wall Repairing | Indore Best Plumber,plumber,09926570758,"599, Bijalpur, Indore, Madhya Pradesh 452012",,22.6666609,75.8399888,
Plumberwale,plumber,09522201888,"23/2, Sajan Nagar Main Rd, near nyera petrol pump, Jagan Nagar, Sajan Nagar, Indore, Madhya Pradesh 452001",https://plumberwale.in,,,
Akshar plumbing & technician service's,plumber,,"ROBOT SQUARE, Khajrana, Indore, Madhya Pradesh 452016",,,,
Advi Plumbing Pvt. Ltd.,plumber,09111911391,"GF, 138, Airport Rd, Dwarkadhish Colony, Panchsheel Nagar, Indore, Madhya Pradesh 452005",https://adviplumbing.com,,,
S.k plumbing services,plumber,07503510270,"Chhavani Chouraha, Mushakhedi, Chhawni, Indore, Madhya Pradesh 452001",,,,
Arjun Bamniya plumber Service,plumber,,"Songir, Juni Indore, Indore, Madhya Pradesh 453111",,,,
Ambika & Co.,plumber,09826210689,,https://ambikaandco.lovable.app,,,
Dayal Mehar plumber,plumber,,"Choithram mandi, Scheme 103, Indore, Madhya Pradesh 452012",,,,
Dayal mehar plumbing,plumber,08962059151,"Tejaji Nagar, Indore, Madhya Pradesh 452020",,,,
The Perfect Plumbers and Renovators,plumber,09981323768,"Ilyas Colony Rd, Silver Colony, Khajrana, Indore, Madhya Pradesh 452011",,,,
Vijay plumber,plumber,08085948454,"near Rajendra nagar, Rajendra Nagar, Bijalpur, Indore, Madhya Pradesh 452012",,,,
PS Tech (problem solver tech),plumber,09119943168,"Problem Solver Tech, near Ram Mandir, Bulandshahr, Kabit Khedi, Indore, Madhya Pradesh 452010",https://problemsolvertech.in,,,
Vishal plumber indore,plumber,07987178870,,,22.7239727,75.8638499,
Malkhan plumber services,plumber,09977796353,"Jai Bhawani Nagar, Indore, Madhya Pradesh 452015",,22.778881,75.8409557,
Plumber Services ( Chetan ),plumber,09752518851,"Sector D, Sudama Nagar, Bijapur, Indore, Madhya Pradesh 452009",,,,
Plumber Services Water Solutions Indore,plumber,09644360325,"288, New Gouri Nagar, Sukhliya, Indore, Madhya Pradesh 452010",,,,
वंशिका प्लंबर एंड वर्क VANSHIKA PLUMBER AND WORK,plumber,09009125148,"267 Gram Bhangya Bhawrasala indore madhya pradesh KALINDI GOLD CITY INDORE MR 10 Rd, State Highway, Ujjain, Indore, Madhya Pradesh 453555",,,,
Shree Shyam Plumber service indor,plumber,09216983910,"Malviya nagar chouraha, Electronic Complex, Pardesipura, Indore, Madhya Pradesh 452010",https://shreeshyamplumberserviceindor.blogspot.com,22.7541036,75.8695761,
The Expert Plumber indore,plumber,09111757792,"Rajendra Nagar, Indore, Madhya Pradesh 452012",,22.6702902,75.8287701,
Karan plumber indore,plumber,,"Airport Airport, Indore, Madhya Pradesh 452005",https://youtube.com,,,
Palak Plumbing Services,plumber,09893703622,"1773, New, near banjara dharamshala, Dwarkapuri, Indore, Madhya Pradesh 452009",,22.6905312,75.8190391,
Rathore plumbing contractor,plumber,06263890979,"Baba Mansa Nagar, Malviya Nagar, Indore, Madhya Pradesh 452016",,22.7424914,75.9133906,
Plumber Bathware Authorised Dealer : SNEHA TRADERS,plumber,09407137500,"WA-83, near Nakoda Khamand, Scheme No:94, Vijay Nagar, Scheme No 94 Sector EB, Indore, Madhya Pradesh 452010",https://plumberbathware.com,22.7684477,75.9076762,
